chunk_index_0,first_sample_0,word_count,wait_accepted_samples,host_pause_ms
0,0,1024,1024,1
1,1024,1024,2048,1
2,2048,1024,3072,1
3,3072,1024,4096,1
4,4096,1024,5120,1
5,5120,1024,6144,1
6,6144,1024,7168,1
7,7168,1024,8192,1
8,8192,1024,9216,1
9,9216,1024,10240,1
10,10240,1024,11264,1
11,11264,1024,12288,1
12,12288,1024,13312,1
13,13312,1024,14336,1
14,14336,1024,15360,1
15,15360,1024,16384,1
16,16384,1024,17408,1
17,17408,1024,18432,1
18,18432,1024,19456,1
19,19456,1024,20480,1
20,20480,1024,21504,1
21,21504,1024,22528,1
22,22528,1024,23552,1
23,23552,1024,24576,1
24,24576,1024,25600,1
25,25600,1024,26624,1
26,26624,1024,27648,1
27,27648,1024,28672,1
28,28672,1024,29696,1
29,29696,1024,30720,1
30,30720,1024,31744,1
31,31744,1024,32768,1
32,32768,1024,33792,1
33,33792,1024,34816,1
34,34816,1024,35840,1
35,35840,1024,36864,1
36,36864,1024,37888,1
37,37888,1024,38912,1
38,38912,1024,39936,1
39,39936,1024,40960,1
40,40960,1024,41984,1
41,41984,1024,43008,1
42,43008,1024,44032,1
43,44032,1024,45056,1
44,45056,1024,46080,1
45,46080,1024,47104,1
46,47104,1024,48128,1
47,48128,1024,49152,1
48,49152,1024,50176,1
49,50176,1024,51200,1
50,51200,1024,52224,1
51,52224,1024,53248,1
52,53248,1024,54272,1
53,54272,1024,55296,1
54,55296,1024,56320,1
55,56320,1024,57344,1
56,57344,1024,58368,1
57,58368,1024,59392,1
58,59392,932,60324,1
