sample_index_0,signal_time_us,i_i16,q_i16,dma_u32
0,0,-10,-4,4294770678
1,0.002,0,2,131072
2,0.004,-6,-3,4294836218
3,0.006,3,4,262147
4,0.008,-1,3,262143
5,0.01,0,-9,4294377472
6,0.012,1,7,458753
7,0.014,8,-7,4294508552
8,0.016,-5,6,458747
9,0.018,-10,-10,4294377462
10,0.02,-3,-10,4294377469
11,0.022,8,-10,4294311944
12,0.024,7,-10,4294311943
13,0.026,9,-3,4294770697
14,0.028,-5,9,655355
15,0.03,-7,-5,4294705145
16,0.032,3,8,524291
17,0.034,-5,-5,4294705147
18,0.036,3,-9,4294377475
19,0.038,-5,-10,4294377467
20,0.04,5,9,589829
21,0.042,-10,-3,4294836214
22,0.044,-1,-1,4294967295
23,0.046,2,-4,4294705154
24,0.048,-5,6,458747
25,0.05,-4,4,327676
26,0.052,-6,10,720890
27,0.054,4,5,327684
28,0.056,-6,9,655354
29,0.058,0,6,393216
30,0.06,-5,3,262139
31,0.062,6,6,393222
32,0.064,7,-1,4294901767
33,0.066,-6,-1,4294967290
34,0.068,1,3,196609
35,0.07,8,5,327688
36,0.072,-10,1,131062
37,0.074,7,9,589831
38,0.076,0,-8,4294443008
39,0.078,-8,0,65528
40,0.08,1,-6,4294574081
41,0.082,7,9,589831
42,0.084,0,0,0
43,0.086,1,0,1
44,0.088,5,-2,4294836229
45,0.09,9,8,524297
46,0.092,9,8,524297
47,0.094,2,5,327682
48,0.096,10,-10,4294311946
49,0.098,-9,-7,4294574071
50,0.1,4,-4,4294705156
51,0.102,1,-9,4294377473
52,0.104,-5,0,65531
53,0.106,-9,1,131063
54,0.108,-4,6,458748
55,0.11,-5,-7,4294574075
56,0.112,3,-8,4294443011
57,0.114,-6,-6,4294639610
58,0.116,-10,-4,4294770678
59,0.118,5,-1,4294901765
60,0.12,3,-9,4294377475
61,0.122,2,9,589826
62,0.124,6,-4,4294705158
63,0.126,-6,10,720890
64,0.128,3,7,458755
65,0.13,9,-2,4294836233
66,0.132,-1,2,196607
67,0.134,4,9,589828
68,0.136,3,-7,4294508547
69,0.138,1,10,655361
70,0.14,-1,-1,4294967295
71,0.142,7,-1,4294901767
72,0.144,8,7,458760
73,0.146,-1,0,65535
74,0.148,4,-2,4294836228
75,0.15,-4,4,327676
76,0.152,-8,4,327672
77,0.154,8,-3,4294770696
78,0.156,-7,6,458745
79,0.158,-9,9,655351
80,0.16,8,4,262152
81,0.162,3,-7,4294508547
82,0.164,-7,9,655353
83,0.166,-6,3,262138
84,0.168,-8,-6,4294639608
85,0.17,2,3,196610
86,0.172,-8,0,65528
87,0.174,-2,9,655358
88,0.176,-3,-10,4294377469
89,0.178,7,-7,4294508551
90,0.18,-10,-6,4294639606
91,0.182,2,-3,4294770690
92,0.184,-10,8,589814
93,0.186,9,-7,4294508553
94,0.188,-1,4,327679
95,0.19,-9,0,65527
96,0.192,4,-4,4294705156
97,0.194,7,-6,4294574087
98,0.196,7,-5,4294639623
99,0.198,-6,6,458746
100,0.2,-5,-6,4294639611
101,0.202,10,4,262154
102,0.204,-2,-10,4294377470
103,0.206,-4,-7,4294574076
104,0.208,0,-4,4294705152
105,0.21,9,-10,4294311945
106,0.212,9,8,524297
107,0.214,-7,9,655353
108,0.216,7,9,589831
109,0.218,9,2,131081
110,0.22,9,-6,4294574089
111,0.222,-10,2,196598
112,0.224,9,6,393225
113,0.226,-1,-9,4294443007
114,0.228,-2,6,458750
115,0.23,0,4,262144
116,0.232,-5,-8,4294508539
117,0.234,2,-6,4294574082
118,0.236,3,0,3
119,0.238,7,10,655367
120,0.24,-1,-8,4294508543
121,0.242,-10,-6,4294639606
122,0.244,5,10,655365
123,0.246,9,6,393225
124,0.248,4,-3,4294770692
125,0.25,5,1,65541
126,0.252,8,-5,4294639624
127,0.254,3,-1,4294901763
128,0.256,-10,-7,4294574070
129,0.258,10,-10,4294311946
130,0.26,-3,3,262141
131,0.262,-1,2,196607
132,0.264,-7,-4,4294770681
133,0.266,6,6,393222
134,0.268,3,-6,4294574083
135,0.27,-10,7,524278
136,0.272,-9,-9,4294442999
137,0.274,10,6,393226
138,0.276,0,3,196608
139,0.278,9,-4,4294705161
140,0.28,5,-2,4294836229
141,0.282,4,-5,4294639620
142,0.284,-8,6,458744
143,0.286,-3,-8,4294508541
144,0.288,10,-1,4294901770
145,0.29,-9,-5,4294705143
146,0.292,8,0,8
147,0.294,-9,2,196599
148,0.296,5,-1,4294901765
149,0.298,-8,-3,4294836216
150,0.3,-6,1,131066
151,0.302,-1,-4,4294770687
152,0.304,4,2,131076
153,0.306,-2,-3,4294836222
154,0.308,3,-7,4294508547
155,0.31,-3,2,196605
156,0.312,10,3,196618
157,0.314,-2,-7,4294574078
158,0.316,4,-1,4294901764
159,0.318,1,-8,4294443009
160,0.32,-7,-9,4294443001
161,0.322,-6,6,458746
162,0.324,-4,-10,4294377468
163,0.326,2,7,458754
164,0.328,-10,6,458742
165,0.33,-3,-4,4294770685
166,0.332,-5,-2,4294901755
167,0.334,-1,-8,4294508543
168,0.336,-3,3,262141
169,0.338,3,3,196611
170,0.34,6,-8,4294443014
171,0.342,7,10,655367
172,0.344,9,3,196617
173,0.346,-5,-8,4294508539
174,0.348,0,3,196608
175,0.35,-5,-8,4294508539
176,0.352,8,-7,4294508552
177,0.354,7,2,131079
178,0.356,-3,-2,4294901757
179,0.358,-3,5,393213
180,0.36,-4,1,131068
181,0.362,1,1,65537
182,0.364,-4,4,327676
183,0.366,3,8,524291
184,0.368,-1,6,458751
185,0.37,2,-5,4294639618
186,0.372,9,3,196617
187,0.374,7,-5,4294639623
188,0.376,-8,6,458744
189,0.378,10,10,655370
190,0.38,-6,1,131066
191,0.382,2,-6,4294574082
192,0.384,-5,-3,4294836219
193,0.386,2,-9,4294377474
194,0.388,1,-2,4294836225
195,0.39,9,5,327689
196,0.392,-10,-3,4294836214
197,0.394,3,7,458755
198,0.396,7,6,393223
199,0.398,7,-4,4294705159
200,0.4,-7,6,458745
201,0.402,4,1,65540
202,0.404,-1,4,327679
203,0.406,7,-7,4294508551
204,0.408,-9,-6,4294639607
205,0.41,6,-10,4294311942
206,0.412,-7,-10,4294377465
207,0.414,-3,-8,4294508541
