role,path,bytes,sha256,categories
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_cmpy_17x16/sim/t04_cmpy_17x16.vhd,8878,c27d479bad41f20994c848728e5b911f397df818a4502ea801f127cecf9e7dc4,smoke;full91;unit_rebind;service
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_cmpy_17x16/t04_cmpy_17x16.xci,47449,fd469868787320d0f12813917e20436bd2ab7a1ff564a138438304096b6daa8a,unit_rebind;service;physical;psf
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_cordic_translate_48/sim/t04_cordic_translate_48.vhd,8646,5ac496ab153611a31b036d38200662c985360cc760f1bdb4d05ba2fb9257336a,smoke;full91;unit_rebind;service;reset_rebind
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_cordic_translate_48/t04_cordic_translate_48.xci,39986,3f2bf14c05015578856e3189ca919689faa94926f2f10477f2334a701897df58,unit_rebind;service;reset_rebind;physical;psf
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_div_u63_u47/sim/t04_div_u63_u47.vhd,9292,a8facfdd535c2546e8d139a2f125462daae638377285619365f443b76b0a590c,smoke;full91;unit_rebind;service;reset_rebind
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_div_u63_u47/t04_div_u63_u47.xci,45521,295a28b45a7a029fb19ef3fa0c28205f952a1d8fbbe670e365f3e5fe9961c4fb,unit_rebind;service;reset_rebind;physical;psf
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_phase_scale_s48_x_1953125/sim/t04_phase_scale_s48_x_1953125.vhd,5329,9e11cfe7ade84e0e0ce4c0b4f9b22a78533467ff73efe4f440f734c596472d8c,smoke;full91;unit_rebind;service;reset_rebind
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_phase_scale_s48_x_1953125/t04_phase_scale_s48_x_1953125.xci,19864,1c753aadf3a74d4602afc01a45d8070e080dc1545fe3a96d4a5815e66d7e9340,unit_rebind;service;reset_rebind;physical;psf
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_square_s43/sim/t04_square_s43.vhd,5422,a5337331aee06464618bdefdd2f3153fad9ce6c74919a3b1133c7a61f2a26ffc,smoke;full91;unit_rebind;service
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_square_s43/t04_square_s43.xci,20108,41efcc599c652804205a798ebf3775f473c1284fef4118c99d9880be63d73a06,unit_rebind;service;physical;psf
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_square_u42/sim/t04_square_u42.vhd,5422,a4f25f171dde4dbcc83aa9ca2631a263469ddad02521ebb1413ead1a9b0305ef,smoke;full91;unit_rebind;service
input,artifacts/T04_coarse_to_cfo/production_ip_run15_reset_enabled_behavioral/generated_ip/t04_square_u42/t04_square_u42.xci,20112,5ad8967963fdec64d02e4a6263693e14529f7bf3483e360920ef5d5a4511f721,unit_rebind;service;physical;psf
input,C:/NIFPGA/programs/Vivado2021_1/bin/xelab.bat,946,e22bb6ddf57ecfd9688754e0ebe819a83d9cc14eb58dd9f7c58443b414af6722,physical;psf
input,C:/NIFPGA/programs/Vivado2021_1/bin/xsim.bat,974,5cf6ead80aeb88443f80972afa4300705858f0127410445e4f9564b60c91bcc3,physical;psf
input,C:/NIFPGA/programs/Vivado2021_1/bin/xvlog.bat,946,e22bb6ddf57ecfd9688754e0ebe819a83d9cc14eb58dd9f7c58443b414af6722,physical;psf
input,C:/NIFPGA/programs/Vivado2021_1/data/verilog/src/glbl.v,1846,ca9651d24ebe82b113862ac5c54f74572b383d9f42df59cb8d29e339851edf8a,physical;psf
input,config/t04_rtl_contract.json,23721,17f975e942480586bbec1c4e75893038584574cf13ea5c4d7bd4fc4ae125975e,physical;psf
input,config/t04_t05_acquisition_domain_v2.json,8309,2a54710e8b62dc54fe1b1ef94ff637f3c735af4d49a10951f4462e8e0cb26e8d,contract;smoke;full91;unit_rebind;service;physical;psf
input,docs/progress/PROJECT_TASK_STATUS.md,47637,1e4743bd80818d9e6f75f3a2b48a00aa19a4296cf81e335c1557c5dc01afd5d4,canonical_read_only_guard
input,reports/T04_coarse_to_cfo/current_generation_behavioral_smoke_v2/attempt_20260901T204252805Z_7804_8f2b546c/source_input_manifest_post.csv,4465,9455e7ac041581f600f2d03dd88882c231707a626683f9c914b786d4514e21fe,smoke
input,reports/T04_coarse_to_cfo/current_generation_behavioral_smoke_v2/attempt_20260901T204252805Z_7804_8f2b546c/source_input_manifest_pre.csv,4465,9455e7ac041581f600f2d03dd88882c231707a626683f9c914b786d4514e21fe,smoke
input,reports/T04_coarse_to_cfo/current_generation_behavioral_smoke_v2/attempt_20260901T204252805Z_7804_8f2b546c/wrapper_final_status.json,806,e52d2e184ca21d2d3d27a9f70dfcc25527bbbc458b5e9a43d5ab669a4e7310f5,smoke
input,reports/T04_coarse_to_cfo/current_generation_behavioral_smoke_v2/attempt_20260901T204252805Z_7804_8f2b546c/xsim.log,1654,ec9e11a700c84ff5d4930116eaf10a495c5a0d8a478300c4d454f8d9b8c47ed9,smoke
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/fixture_expected_results.mem,66,98666ebe57154e3306ce68baf1dada5ed12f67d15471c4ca71c0fc0f4fe3307d,unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/fixture_stimulus_beats.mem,26112,ee6eae6b2ca38396744c8cf4e1c90407da3949592fc45cf2cb295d828d0677f2,unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/T04_CURRENT_GENERATION_EXCEPTION_SERVICE_V2_UNDERGRADUATE_REPORT_ZH.md,4279,284676127379daba31f5fe404b79874004a81abca1a00dde82b8be75b97ba057,unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/unit_evidence.txt,14719,ea1fcfab0fdf7923c4a64f8a0b83a1ddf2fcb7efbf088e2b9ef6a1c6b81cf1c4,service;unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/xelab.log,23401,7d70fa0a6cc9ba0aa7f8cebc64f97a0564253d637421320d17bea62a2ba252c9,unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/xsim.log,2553,8733109b206686d18dd76212b8158ac30e72f763421fa5e355abfc9a8f115daa,service;unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/xvhdl_t04_cmpy_17x16.log,263,d9c51606594656b1d6a0c26a3ca0913ea95e0eb6f91a9aea5e6abca429d19a2c,unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/xvhdl_t04_cordic_translate_48.log,290,fa4a07934940c347790ab6144022ec52382702130ee38c1aab87e451db35091c,unit_rebind
input,reports/T04_coarse_to_cfo/current_generation_exception_service_v2/attempt_20260901T205458984Z_37936_f8b9f7d7/simulation/xvhdl_t04_div_u63_u47.log,266,86330500d247dc0a2feccfcfcae33a78d5d177c864f7cc21d4c24d16d27ef592,unit_rebind
