case_id,role,channel,generation_id,to_true,coarse_start,coarse_cfo_hz,fine_start,fine_error_samples,internal_peak_start,valid,ambiguity,error_code,quality_code_q1_15,quality,pslr_db,tie_count,corrected_overflow_count,accumulator_overflow_count,local_first_sample,local_last_sample,peak_magnitude_squared_decimal,runner_magnitude_squared_decimal
pairwise_01,deterministic,single_path,origsc-3588599b-5a087681-17f975e9-cpowner91,-101,0,-150022,-101,0,-101,1,0,0,29211,0.891448974609375,26.7303910607775,1,0,0,384,2687,2751524199745408498709,5841632485270136794
pairwise_02,deterministic,single_path,origsc-3588599b-5a087681-17f975e9-cpowner91,-101,0,0,-101,0,-101,1,0,0,32768,1,29.6177956723199,1,0,0,384,2687,3086822806960256458084,3370793386302076601
pairwise_03,deterministic,single_path,origsc-3588599b-5a087681-17f975e9-cpowner91,-101,0,149978,-101,0,-101,1,0,0,29212,0.8914794921875,27.2642195031559,1,0,0,384,2687,2751436006546321744900,5165798550005396362
pairwise_04,deterministic,single_path,origsc-3588599b-5a087681-17f975e9-cpowner91,0,0,-150000,0,0,0,1,0,0,32767,0.999969482421875,29.6170845208274,1,0,0,384,2687,3086818083099632692849,3371340235197924938
pairwise_05,deterministic,single_path,origsc-3588599b-5a087681-17f975e9-cpowner91,0,0,0,0,0,0,1,0,0,28791,0.878631591796875,27.1008842299307,1,0,0,384,2687,2711850027903040058865,5286609661202860328
pairwise_06,deterministic,single_path,origsc-3588599b-5a087681-17f975e9-cpowner91,0,0,150022,0,0,0,1,0,0,28791,0.878631591796875,26.5744884775338,1,0,0,384,2687,2711864870365348142953,5967867846816343144
pairwise_07,deterministic,single_path,origsc-3588599b-5a087681-17f975e9-cpowner91,101,0,-149978,101,0,101,1,0,0,28348,0.8651123046875,26.9461772813645,1,0,0,384,2687,2670026837814707726449,5393837999671917761
pairwise_08,deterministic,single_path,origsc-3588599b-5a087681-17f975e9-cpowner91,101,0,0,101,0,101,1,0,0,28347,0.865081787109375,26.4278581347283,1,0,0,384,2687,2670050155114212384610,6077620886433194090
pairwise_09,deterministic,single_path,origsc-3588599b-5a087681-17f975e9-cpowner91,101,0,150000,101,0,101,1,0,0,32767,0.999969482421875,29.6174466612656,1,0,0,384,2687,3086819876136890574500,3371061082763942944
sign_corner_01,deterministic,single_path,origsc-3588599b-5a087681-17f975e9-cpowner91,-101,0,-150022,-101,0,-101,1,0,0,29211,0.891448974609375,26.7303910607775,1,0,0,384,2687,2751524199745408498709,5841632485270136794
