caseId,acceptanceRole,channelName,candidateId,algorithmCandidateId,selectedScaleId,generationId,integerPerUnit,clipComponentCount,valid,ambiguity,effectiveAcquisitionValid,errorCode,coarseStart,cfoEstimate,qualityCodeQ1_15,rawValid,rawAmbiguity,rawErrorCode,rawCoarseStart,rawCfoEstimate,rawQualityCodeQ1_15,phaseCodeQ1_47,phaseCodeQ3_45,magnitudeCodeQ1_47,safePointCount,safePRe,safePIm,safeEnergy
pairwise_01,deterministic,single_path,rx_scale_tx_div2,sc_m003_run04_safe_interior_sum_midpoint_minus_half_cp,rx_scale_tx_div2,origsc-3588599b-5a087681-17f975e9-cpowner91,263403.201938273,0,1,0,1,0,0,-150022,31955,1,0,0,0,-150022,31955,-86482037188460,-21620509297115,460566742073,17,-162110742816,-431093761225,472284422355
pairwise_02,deterministic,single_path,rx_scale_tx_div2,sc_m003_run04_safe_interior_sum_midpoint_minus_half_cp,rx_scale_tx_div2,origsc-3588599b-5a087681-17f975e9-cpowner91,263403.201938273,0,1,0,1,0,0,0,32768,1,0,0,0,0,32768,0,0,472253054837,17,472253054837,0,472253054837
pairwise_03,deterministic,single_path,rx_scale_tx_div2,sc_m003_run04_safe_interior_sum_midpoint_minus_half_cp,rx_scale_tx_div2,origsc-3588599b-5a087681-17f975e9-cpowner91,263403.201938273,0,1,0,1,0,0,149978,31955,1,0,0,0,149978,31955,86456464546644,21614116136661,460565278378,17,-161864115721,431184860227,472273141490
pairwise_04,deterministic,single_path,rx_scale_tx_div2,sc_m003_run04_safe_interior_sum_midpoint_minus_half_cp,rx_scale_tx_div2,origsc-3588599b-5a087681-17f975e9-cpowner91,263403.201938273,0,1,0,1,0,0,-150000,32767,1,0,0,0,-150000,32767,-86468947961796,-21617236990449,472255142238,17,-166095675897,-442082736395,472256744426
pairwise_05,deterministic,single_path,rx_scale_tx_div2,sc_m003_run04_safe_interior_sum_midpoint_minus_half_cp,rx_scale_tx_div2,origsc-3588599b-5a087681-17f975e9-cpowner91,263403.201938273,0,1,0,1,0,0,0,31956,1,0,0,0,0,31956,-26044932,-6511233,460542181164,17,460542181164,-267752,472239420437
pairwise_06,deterministic,single_path,rx_scale_tx_div2,sc_m003_run04_safe_interior_sum_midpoint_minus_half_cp,rx_scale_tx_div2,origsc-3588599b-5a087681-17f975e9-cpowner91,263403.201938273,0,1,0,1,0,0,150022,31955,1,0,0,0,150022,31955,86481741190324,21620435297581,460523336255,17,-162092616659,431054204086,472239784406
pairwise_07,deterministic,single_path,rx_scale_tx_div2,sc_m003_run04_safe_interior_sum_midpoint_minus_half_cp,rx_scale_tx_div2,origsc-3588599b-5a087681-17f975e9-cpowner91,263403.201938273,0,1,0,1,0,0,-149978,31956,1,0,0,0,-149978,31956,-86456144490348,-21614036122587,460565050829,17,-161860955185,-431185803606,472267629375
pairwise_08,deterministic,single_path,rx_scale_tx_div2,sc_m003_run04_safe_interior_sum_midpoint_minus_half_cp,rx_scale_tx_div2,origsc-3588599b-5a087681-17f975e9-cpowner91,263403.201938273,0,1,0,1,0,0,0,31954,1,0,0,0,0,31954,-261432488,-65358122,460541101916,17,460541101908,-2687621,472259573644
pairwise_09,deterministic,single_path,rx_scale_tx_div2,sc_m003_run04_safe_interior_sum_midpoint_minus_half_cp,rx_scale_tx_div2,origsc-3588599b-5a087681-17f975e9-cpowner91,263403.201938273,0,1,0,1,0,0,150000,32768,1,0,0,0,150000,32768,86469073228224,21617268307056,472253542302,17,-166096349353,442080774235,472252309398
sign_corner_01,deterministic,single_path,rx_scale_tx_div2,sc_m003_run04_safe_interior_sum_midpoint_minus_half_cp,rx_scale_tx_div2,origsc-3588599b-5a087681-17f975e9-cpowner91,263403.201938273,0,1,0,1,0,0,-150022,31955,1,0,0,0,-150022,31955,-86482037188460,-21620509297115,460566742073,17,-162110742816,-431093761225,472284422355
