"case_index_zero_based","case_id","stimulus_first_line_zero_based","stimulus_line_count","metric_first_line_zero_based","metric_line_count","result_line_zero_based","source_vector_relative_path","source_vector_sha256"
"0","pairwise_01","0","768","0","257","0","selected_vectors/pairwise_01.bin","b12da46e10df4fdddc188c30212e1ff28377b57b4b1830fe08edf34c6b46095e"
"1","pairwise_02","768","768","257","257","1","selected_vectors/pairwise_02.bin","7976df4b49447235ced4e3ac2ac84e119daf2e0caa7dbfa92ec6c360110fae60"
"2","pairwise_03","1536","768","514","257","2","selected_vectors/pairwise_03.bin","d3ee389cfbecbbc1ac00c895f9834d4e52ab5711aaf384b21a7add9bb8dcceb1"
"3","pairwise_04","2304","768","771","257","3","selected_vectors/pairwise_04.bin","abbe33b51dc24b4429c2e5d949dfc3d8b913cb5baa31433ec784f54e50fdb028"
"4","pairwise_05","3072","768","1028","257","4","selected_vectors/pairwise_05.bin","2871ca1d95d360f5cd5f46d6fa6ed0bb08da1cd64c60fc7efdc43e94e7815306"
"5","pairwise_06","3840","768","1285","257","5","selected_vectors/pairwise_06.bin","88815bef335fc25da4dd700d3e1ba7b459ff40b8c844d0afc6a93c83235a4248"
"6","pairwise_07","4608","768","1542","257","6","selected_vectors/pairwise_07.bin","ae915f5503439069db62eea00d7616ba72fbf8dd5b7f23f552ec2d879896bd4d"
"7","pairwise_08","5376","768","1799","257","7","selected_vectors/pairwise_08.bin","edb8ea9a9e3d659ad63bbc4154bb4bd9676aedf7769dad6699918b55148f8908"
"8","pairwise_09","6144","768","2056","257","8","selected_vectors/pairwise_09.bin","e36941442db8087af5ad0a1b7621af32b08f9bbb43f0dc8386fc422b9ab53db3"
"9","sign_corner_01","6912","768","2313","257","9","selected_vectors/sign_corner_01.bin","b12da46e10df4fdddc188c30212e1ff28377b57b4b1830fe08edf34c6b46095e"
"10","sign_corner_02","7680","768","2570","257","10","selected_vectors/sign_corner_02.bin","84881e888af18f0948d043181eba031de0150271c76d40ec3b85b9b7ed475ddf"
"11","sign_corner_03","8448","768","2827","257","11","selected_vectors/sign_corner_03.bin","5b86add64796771997c4545e93790aaca82d17952f0339c0c394cca086874a72"
"12","sign_corner_04","9216","768","3084","257","12","selected_vectors/sign_corner_04.bin","d3ee389cfbecbbc1ac00c895f9834d4e52ab5711aaf384b21a7add9bb8dcceb1"
"13","sign_corner_05","9984","768","3341","257","13","selected_vectors/sign_corner_05.bin","a7664965db5cc8bc4cd131414fb6b5d0c4861790f53828c9999df47cdb2d2224"
"14","sign_corner_06","10752","768","3598","257","14","selected_vectors/sign_corner_06.bin","ae915f5503439069db62eea00d7616ba72fbf8dd5b7f23f552ec2d879896bd4d"
"15","sign_corner_07","11520","768","3855","257","15","selected_vectors/sign_corner_07.bin","923206d4728cc4a1f7e06772615b2ee91ec0813e6acb7e40be9be39f93c35a20"
"16","sign_corner_08","12288","768","4112","257","16","selected_vectors/sign_corner_08.bin","99ce4cb11c7c61d74af81aa28d76a72b4b80a6dd1f848d076ff0828d648ca057"
"17","lane_boundary_mod4_0","13056","768","4369","257","17","selected_vectors/lane_boundary_mod4_0.bin","3266642da4ab81bb0ada64436568f2dea7426c318f93d4591b8bd719872287bc"
"18","lane_boundary_mod4_1","13824","768","4626","257","18","selected_vectors/lane_boundary_mod4_1.bin","ce2f1a9fd196d548e7270767f1c476a6a03278956ebaf32a367705062a06c17c"
"19","lane_boundary_mod4_2","14592","768","4883","257","19","selected_vectors/lane_boundary_mod4_2.bin","90139edcaa33d348e8ab098abb70819f352c1ca38746d7a5189f70fcad5210f3"
"20","lane_boundary_mod4_3","15360","768","5140","257","20","selected_vectors/lane_boundary_mod4_3.bin","fc62628408a470e95ecf3c8511573b295e93664823c1e08c44d0bc7a5df8f18d"
"21","to_positive_components","16128","768","5397","257","21","selected_vectors/to_positive_components.bin","45cd82a966077b376964997f558008ace86ff68db40da11cef5c9eb001d20991"
"22","to_negative_components","16896","768","5654","257","22","selected_vectors/to_negative_components.bin","7976df4b49447235ced4e3ac2ac84e119daf2e0caa7dbfa92ec6c360110fae60"
"23","fo_positive_components","17664","768","5911","257","23","selected_vectors/fo_positive_components.bin","46b3ad4e35d36727d810f96dc92501ed043925429fc126e2e71904ea5968ae35"
"24","fo_negative_components","18432","768","6168","257","24","selected_vectors/fo_negative_components.bin","abbe33b51dc24b4429c2e5d949dfc3d8b913cb5baa31433ec784f54e50fdb028"
"25","tdld_-05dB_seed_41001","19200","768","6425","257","25","selected_vectors/tdld_-05dB_seed_41001.bin","6b399d9bb608a376cf0d843568ef3504fdb9d42ba147ce652d5f28fff94b5485"
"26","tdld_-05dB_seed_41002","19968","768","6682","257","26","selected_vectors/tdld_-05dB_seed_41002.bin","8f64cc3887dc7a60ac60cc2ad1ce72dd1edac2669a5888fb1be11eab3e0cafa1"
"27","tdld_-05dB_seed_41003","20736","768","6939","257","27","selected_vectors/tdld_-05dB_seed_41003.bin","499a463cdf9c4419fe189b432aa4c20a49f8cd544cc2fa9bccc69c6fc39b2417"
"28","tdld_-05dB_seed_41004","21504","768","7196","257","28","selected_vectors/tdld_-05dB_seed_41004.bin","0ff9f238ef579d3de7f46c3be9bac043911fa7ab1373fcdc60e5420bf17bccca"
