name,direction,width,core,hi,lo
clk125,input,1,clk125,0,0
clk150,input,1,clk150,0,0
clk500,input,1,clk500,0,0
reset_request,input,1,reset_request,0,0
start_valid,input,1,start_valid,0,0
start_ready,output,1,start_ready,0,0
capture_base_word,input,64,capture_base_word,63,0
capture_words,input,32,capture_words,31,0
cancel,input,1,cancel,0,0
s_valid,input,1,s_valid,0,0
s_ready,output,1,s_ready,0,0
s_data_w0,input,64,s_data,63,0
s_data_w1,input,64,s_data,127,64
done,output,1,done,0,0
done_ready,input,1,done_ready,0,0
busy,output,1,busy,0,0
stage125,output,8,stage125,5,0
error125,output,8,error125,7,0
accepted_words125,output,32,accepted_words125,31,0
committed_words125,output,32,committed_words125,31,0
replay_words125,output,32,replay_words125,31,0
raw_stalls125,output,32,raw_stalls125,31,0
frame125,output,32,frame125,31,0
generation125,output,32,generation125,31,0
nominal_absolute125,output,64,nominal_absolute125,63,0
frontend_record125_w0,output,64,frontend_record125,63,0
frontend_record125_w1,output,64,frontend_record125,127,64
frontend_record125_w2,output,64,frontend_record125,191,128
frontend_record125_w3,output,64,frontend_record125,255,192
frontend_record125_w4,output,32,frontend_record125,287,256
ddr_cmd_valid,output,1,ddr_cmd_valid,0,0
ddr_cmd_ready,input,1,ddr_cmd_ready,0,0
ddr_cmd_write,output,1,ddr_cmd_write,0,0
ddr_cmd_address,output,64,ddr_cmd_address,63,0
ddr_cmd_tag_w0,output,64,ddr_cmd_tag,63,0
ddr_cmd_tag_w1,output,8,ddr_cmd_tag,64,64
ddr_cmd_data_w0,output,64,ddr_cmd_data,63,0
ddr_cmd_data_w1,output,64,ddr_cmd_data,127,64
ddr_rsp_valid,input,1,ddr_rsp_valid,0,0
ddr_rsp_ready,output,1,ddr_rsp_ready,0,0
ddr_rsp_tag_w0,input,64,ddr_rsp_tag,63,0
ddr_rsp_tag_w1,input,8,ddr_rsp_tag,64,64
ddr_rsp_data_w0,input,64,ddr_rsp_data,63,0
ddr_rsp_data_w1,input,64,ddr_rsp_data,127,64
ddr_rsp_error,input,1,ddr_rsp_error,0,0
ddr_idle125,output,1,ddr_idle125,0,0
ddr_error125,output,8,ddr_error125,7,0
ddr_commands125,output,32,ddr_commands125,31,0
ddr_responses125,output,32,ddr_responses125,31,0
ddr_stale125,output,32,ddr_stale125,31,0
ddr_request_level125,output,8,ddr_request_level125,5,0
ddr_response_level125,output,8,ddr_response_level125,5,0
m_valid,output,1,m_valid,0,0
m_ready,input,1,m_ready,0,0
m_record_w0,output,64,m_record,63,0
m_record_w1,output,64,m_record,127,64
m_record_w2,output,64,m_record,191,128
m_record_w3,output,64,m_record,224,192
cfo_stage150,output,8,cfo_stage150,4,0
cfo_error150,output,8,cfo_error150,7,0
coarse_beats150,output,32,coarse_beats150,31,0
final_beats150,output,32,final_beats150,31,0
coarse_saturations150,output,32,coarse_saturations150,31,0
final_saturations150,output,32,final_saturations150,31,0
observation_windows150,output,8,observation_windows150,6,0
cfo_result150_w0,output,64,cfo_result150,63,0
cfo_result150_w1,output,64,cfo_result150,127,64
cfo_result150_w2,output,64,cfo_result150,191,128
cfo_result150_w3,output,64,cfo_result150,255,192
cfo_result150_w4,output,64,cfo_result150,319,256
cfo_result150_w5,output,64,cfo_result150,383,320
cfo_result150_w6,output,64,cfo_result150,447,384
cfo_result150_w7,output,64,cfo_result150,498,448
cfo_committed150,output,32,cfo_committed150,31,0
cfo_read150,output,32,cfo_read150,31,0
cfo_stalls150,output,32,cfo_stalls150,31,0
cfo_window_fifo_level150,output,8,cfo_window_fifo_level150,5,0
cfo_observation_fifo_level150,output,8,cfo_observation_fifo_level150,4,0
cfo_fifo_error150,output,8,cfo_fifo_error150,3,0
sfo_error125,output,8,sfo_error125,7,0
sfo_error150,output,8,sfo_error150,7,0
context_error150,output,8,context_error150,7,0
sfo_diagnostic150_w0,output,64,sfo_diagnostic150,63,0
sfo_diagnostic150_w1,output,64,sfo_diagnostic150,127,64
sfo_diagnostic150_w2,output,64,sfo_diagnostic150,191,128
sfo_diagnostic150_w3,output,64,sfo_diagnostic150,255,192
sfo_monitor125_w0,output,64,sfo_monitor125,63,0
sfo_monitor125_w1,output,64,sfo_monitor125,127,64
sfo_monitor125_w2,output,64,sfo_monitor125,191,128
sfo_monitor125_w3,output,64,sfo_monitor125,255,192
sfo_monitor125_w4,output,64,sfo_monitor125,319,256
sfo_monitor125_w5,output,64,sfo_monitor125,383,320
sfo_monitor125_w6,output,64,sfo_monitor125,447,384
sfo_monitor125_w7,output,64,sfo_monitor125,511,448
sfo_monitor150_w0,output,64,sfo_monitor150,63,0
sfo_monitor150_w1,output,64,sfo_monitor150,127,64
sfo_monitor150_w2,output,64,sfo_monitor150,191,128
sfo_monitor150_w3,output,64,sfo_monitor150,255,192
sfo_monitor150_w4,output,64,sfo_monitor150,319,256
sfo_monitor150_w5,output,64,sfo_monitor150,383,320
sfo_monitor150_w6,output,64,sfo_monitor150,447,384
sfo_monitor150_w7,output,64,sfo_monitor150,511,448
first_step150,output,32,first_step150,31,0
second_step150,output,32,second_step150,31,0
frontend_accepted_samples125,output,64,frontend_accepted_samples125,63,0
frontend_candidates125,output,32,frontend_candidates125,31,0
frontend_rejected125,output,32,frontend_rejected125,31,0
frontend_drop125,output,32,frontend_drop125,31,0
frontend_duplicate125,output,32,frontend_duplicate125,31,0
frontend_confirmed125,output,32,frontend_confirmed125,31,0
frontend_error125,output,16,frontend_error125,15,0
