group,endpoints,tns_ns,wns_ns
clk500:cfo/observation_front/fft_core,688,-223.824,-0.727
clk150:sfo/two_pass_transport/first_resampling/engine,560,-80.448,-0.548
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/memory,290,-57.192,-0.766
clk500:sfo/residual_estimator/front_stage/main,258,-52.805,-0.537
clk500:cfo/observation_front,249,-51.258,-0.544
clk500:sfo/residual_estimator/aux_service/u_xfft,292,-45.751,-0.544
clk500:sfo/initial_estimator/owner/fft,146,-37.323,-0.512
clk150:sfo/two_pass_transport/second_resampling/engine,223,-22.945,-0.6
clk500:cfo/windows/packed_windows/fifo,101,-22.591,-0.649
clk150:cfo/coarse_banks[1].memory/u_frame_memory/xpm_memory_base_inst,153,-14.645,-0.384
clk150:cfo/coarse_banks[0].memory/u_frame_memory/xpm_memory_base_inst,115,-10.551,-0.334
clk500:cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst,59,-8.944,-0.215
clk150:sfo/two_pass_transport/shared_raw.hub/raw_store,89,-6.612,-0.29
clk150:sfo/two_pass_transport/intermediate[1].intermediate_bank/memory,22,-2.088,-0.207
clk150:sfo/two_pass_transport/output_buffer/storage,30,-1.796,-0.131
clk500:cfo/estimator,14,-1.605,-0.181
clk500:cfo/observation_front/fft_core/pr4_reg,6,-1.336,-0.296
clk500:cfo/windows,19,-0.978,-0.107
clk500:cfo/observation_front/fft_core/pi4_reg,5,-0.945,-0.298
clk500:cfo/observation_front/fft_core/rr3_reg,4,-0.882,-0.32
clk500:cfo/observation_front/fft_core/ri3_reg,4,-0.851,-0.289
clk500:cfo/observation_front/index_base_reg,1,-0.525,-0.525
clk150:cfo/estimator/backend/quality_core,4,-0.277,-0.121
clk500:sfo/residual_estimator/aux_service/u_ingress_fifo,1,-0.258,-0.258
clk500:sfo/residual_estimator/aux_service/u_egress_fifo,3,-0.162,-0.098
