group,endpoints,tns_ns,wns_ns
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/index_iq_reg[]/CE,52,-22.402,-0.544
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/D,184,-20.073,-0.312
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/m_q_reg[]/CE,26,-14.388,-0.664
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/CE,101,-13.72,-0.332
clk150:sfo/two_pass_transport/second_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/second_resampling/engine/core/fir15_interpolator/q_core/U0/i_synth/g_polyphase_interpolation_sym_ssr.i_polyphase_interpolation_sym_ssr/g_m_data_chan_fifo.i_m_data_chan_fifo/fifo0/fifo_2_reg[]/CE,131,-13.3,-0.223
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/m_i_reg[]/CE,26,-12.825,-0.664
clk500:cfo/observation_front/fft_core/add_q6_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[],20,-12.487,-0.692
clk500:cfo/observation_front/fft_core/add_q6_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[],19,-11.925,-0.727
clk500:sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/axi_wrapper/reset_pipe_reg[]/C -> sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/axi_wrapper/data_out_channel/gen_real_time.data_out_reg[]/CE,31,-11.24,-0.497
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/index_pipe_reg[][]/R,30,-8.866,-0.323
clk500:cfo/observation_front/fft_core/sub_q6_reg[]/C -> cfo/observation_front/fft_core/m_saturations_reg[]/D,14,-7.766,-0.695
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/tw_stride_reg[]/CE,10,-6.816,-0.717
clk500:cfo/observation_front/fft_core/sub_i6_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[],12,-6.5,-0.623
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[11].u_real/pre_ca/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,17,-6.399,-0.496
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/group_base_reg[]/CE,10,-6.196,-0.674
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_bit_reverse.pe_natural_out_reg[]/R,24,-6.003,-0.385
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/m_saturations_reg[]/CE,16,-5.908,-0.422
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_BWE_B[],9,-5.872,-0.766
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_BWE_B[],9,-5.332,-0.702
clk500:sfo/residual_estimator/front_stage/main/service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/gen_rst_ic.wr_rst_busy_ic_reg/C -> sfo/residual_estimator/front_stage/main/service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[]/D,11,-5.219,-0.537
clk500:cfo/observation_front/fft_core/input_index_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_1/ADDRARDADDR[],10,-5.195,-0.564
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/offset_in_group_reg[]/CE,10,-5.093,-0.582
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[11].u_real/pre_ab2/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,17,-4.972,-0.385
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/reset_pipe_reg[]/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/data_out_channel/gen_real_time.data_out_reg[]/CE,28,-4.925,-0.256
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_1/ADDRBWRADDR[],10,-4.899,-0.581
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/m_frame_reg[]/CE,32,-4.883,-0.246
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/ADDRBWRADDR[],10,-4.692,-0.625
clk500:cfo/observation_front/fft_core/input_index_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/ADDRARDADDR[],10,-4.676,-0.595
