group,endpoints,tns_ns,wns_ns
clk500:cfo/observation_front/fft_core -> cfo/observation_front/fft_core,567,-188.602,-0.727
clk150:sfo/two_pass_transport/first_resampling -> sfo/two_pass_transport/first_resampling,559,-80.235,-0.548
clk500:sfo/residual_estimator/front_stage -> sfo/residual_estimator/front_stage,258,-52.805,-0.537
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank -> sfo/two_pass_transport/intermediate[0].intermediate_bank,233,-52.515,-0.766
clk500:sfo/residual_estimator/aux_service -> sfo/residual_estimator/aux_service,296,-46.171,-0.544
clk500:cfo/reset_fast -> cfo/observation_front,174,-44.129,-0.544
clk500:sfo/initial_estimator/owner -> sfo/initial_estimator/owner,146,-37.323,-0.512
clk500:cfo/reset_fast -> cfo/observation_front/fft_core,113,-27.991,-0.625
clk150:sfo/two_pass_transport/second_resampling -> sfo/two_pass_transport/second_resampling,223,-22.945,-0.6
clk500:cfo/windows -> cfo/windows/packed_windows,51,-12.165,-0.649
clk500:cfo/windows -> cfo/observation_front/fft_core,27,-11.245,-0.596
clk500:cfo/reset_fast -> cfo/estimator/observation_fifo,56,-8.816,-0.215
clk150:poison_sync -> cfo/coarse_banks[1].memory/u_frame_memory,61,-8.655,-0.384
clk500:cfo/windows/packed_windows -> cfo/windows/packed_windows,44,-7.561,-0.459
clk150:sfo/two_pass_transport/shared_raw.hub -> sfo/two_pass_transport/shared_raw.hub,89,-6.612,-0.29
clk500:cfo/estimator/observation_fifo -> cfo/observation_front,65,-6.59,-0.277
clk150:poison_sync -> cfo/coarse_banks[0].memory/u_frame_memory,53,-6.333,-0.334
clk150:cfo/coarse_rotation -> cfo/coarse_banks[1].memory/u_frame_memory,76,-5.22,-0.214
clk150:sfo/two_pass_transport/first_resampling -> sfo/two_pass_transport/intermediate[0].intermediate_bank,57,-4.677,-0.184
clk150:cfo/coarse_rotation -> cfo/coarse_banks[0].memory/u_frame_memory,61,-4.115,-0.168
clk500:cfo/windows/window_credits -> cfo/windows/packed_windows,4,-1.664,-0.495
clk500:cfo/observation_front -> cfo/estimator,14,-1.605,-0.181
clk150:sfo/two_pass_transport/second_resampling -> sfo/two_pass_transport/output_buffer,26,-1.602,-0.131
clk150:sfo/two_pass_transport/fault_125_to_150 -> sfo/two_pass_transport/intermediate[1].intermediate_bank,12,-1.308,-0.207
clk500:cfo/reset_fast -> cfo/windows/packed_windows,2,-1.201,-0.613
clk150:sfo/two_pass_transport/first_resampling -> sfo/two_pass_transport/intermediate[1].intermediate_bank,10,-0.78,-0.153
clk150:cfo/coarse_banks[1].memory/u_frame_memory -> cfo/coarse_banks[1].memory/u_frame_memory,14,-0.719,-0.115
clk500:cfo/observation_front -> cfo/observation_front,10,-0.539,-0.143
clk500:cfo/windows/complete_windows -> cfo/windows,5,-0.533,-0.107
clk500:cfo/reset_fast -> cfo/observation_front/index_base_reg,1,-0.525,-0.525
clk500:cfo/windows -> cfo/windows,12,-0.409,-0.074
clk150:cfo/estimator/backend -> cfo/estimator/backend,4,-0.277,-0.121
clk150:sfo/two_pass_transport/intermediate[1].intermediate_bank -> sfo/two_pass_transport/first_resampling,1,-0.213,-0.213
clk150:sfo/two_pass_transport/output_buffer -> sfo/two_pass_transport/output_buffer,4,-0.194,-0.065
clk500:cfo/observation_front -> cfo/estimator/observation_fifo,3,-0.128,-0.048
clk150:cfo -> cfo/coarse_banks[0].memory/u_frame_memory,1,-0.103,-0.103
clk150:cfo -> cfo/coarse_banks[1].memory/u_frame_memory,2,-0.051,-0.03
clk500:cfo/windows/packed_windows -> cfo/windows,2,-0.036,-0.029
