"GROUP","SLACK","REQUIREMENT","STARTPOINT_PIN","ENDPOINT_PIN","STARTPOINT_CLOCK","ENDPOINT_CLOCK","DATAPATH_DELAY","LOGIC_LEVELS","SKEW","UNCERTAINTY"
"clk150","-0.766","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_BWE_B[6]","clk150","clk150","7.084","13","0.035","0.035"
"clk500","-0.727","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[17]","clk500","clk500","2.432","7","0.009","0.035"
"clk500","-0.720","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/stage_index_reg[1]/CE","clk500","clk500","2.615","6","-0.010","0.035"
"clk500","-0.720","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/half_span_reg[0]/CE","clk500","clk500","2.616","6","-0.010","0.035"
"clk500","-0.720","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/stage_index_reg[2]/CE","clk500","clk500","2.616","6","-0.010","0.035"
"clk500","-0.717","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/tw_stride_reg[3]/CE","clk500","clk500","2.613","6","-0.010","0.035"
"clk150","-0.709","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_BWE_B[4]","clk150","clk150","6.973","13","0.035","0.035"
"clk500","-0.705","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/tw_index_reg_rep/ENARDEN","clk500","clk500","2.337","6","0.009","0.035"
"clk500","-0.704","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/stage_index_reg[0]/CE","clk500","clk500","2.599","6","-0.010","0.035"
"clk500","-0.704","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/stage_index_reg[3]/CE","clk500","clk500","2.599","6","-0.010","0.035"
"clk150","-0.703","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_BWE_B[2]","clk150","clk150","7.064","13","0.035","0.035"
"clk150","-0.702","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_BWE_B[6]","clk150","clk150","7.020","13","0.035","0.035"
"clk500","-0.701","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[27]","clk500","clk500","2.415","8","0.010","0.035"
"clk500","-0.701","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[24]","clk500","clk500","2.410","8","0.009","0.035"
"clk500","-0.698","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[19]","clk500","clk500","2.436","7","0.009","0.035"
"clk500","-0.695","2.000","cfo/observation_front/fft_core/sub_q6_reg[0]/C","cfo/observation_front/fft_core/m_saturations_reg[14]/D","clk500","clk500","2.678","12","-0.007","0.035"
"clk500","-0.693","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[6]","clk500","clk500","2.423","7","0.009","0.035"
"clk500","-0.692","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[21]","clk500","clk500","2.421","8","0.009","0.035"
"clk500","-0.690","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/tw_stride_reg[2]/CE","clk500","clk500","2.585","6","-0.010","0.035"
"clk500","-0.690","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/tw_stride_reg[4]/CE","clk500","clk500","2.586","6","-0.010","0.035"
