group,endpoints,tns_ns,wns_ns
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/output_record_reg[]/CE,81,-7.529,-0.178
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_head_reg[]/CE,76,-2.913,-0.075
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[],18,-1.479,-0.172
clk500:cfo/windows/output_record_reg[]/C -> cfo/observation_front/fft_core/input_index_reg[]/CE,11,-1.317,-0.134
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/m_generation_reg[]/CE,14,-1.158,-0.085
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[],13,-1.039,-0.174
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/m_saturations_reg[]/CE,15,-0.909,-0.097
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_1/ADDRARDADDR[],8,-0.695,-0.148
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/ADDRARDADDR[],7,-0.667,-0.148
clk500:cfo/observation_front/fft_core/offset_in_group_reg[]/C -> cfo/observation_front/fft_core/tw_index_reg_rep/ADDRARDADDR[],7,-0.498,-0.117
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst/count_value_i_reg[]/CE,5,-0.496,-0.131
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[]/CE,5,-0.464,-0.11
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst/count_value_i_reg[]/CE,5,-0.437,-0.131
clk500:cfo/observation_front/fft_core/next_output_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_1/ADDRBWRADDR[],7,-0.323,-0.084
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/reset_sustain.resets_4_pes[1].delay_reset_pe/count_addsub_reg[].addsub_reg/R,5,-0.314,-0.063
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/DOUT_CNT_CTRL_0/cnt/cnt_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/R,4,-0.252,-0.063
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_1/ADDRARDADDR[],3,-0.249,-0.122
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_count_reg[]/CE,1,-0.199,-0.199
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/ADDRARDADDR[],2,-0.184,-0.103
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/pr4_reg_i_5_psdsp_1/D,1,-0.169,-0.169
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_5_psdsp/D,1,-0.165,-0.165
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_5_psdsp_1/D,1,-0.164,-0.164
clk500:cfo/windows/output_record_reg[]/C -> cfo/observation_front/fft_core/state_reg[]/CE,3,-0.153,-0.051
clk500:cfo/windows/output_record_reg[]/C -> cfo/observation_front/fft_core/m_error_reg[]/CE,2,-0.152,-0.138
clk500:cfo/observation_front/fft_core/input_index_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_1/ADDRARDADDR[],1,-0.151,-0.151
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_4_psdsp/D,1,-0.143,-0.143
clk500:cfo/observation_front/fft_core/stage_index_reg[]/C -> cfo/observation_front/fft_core/next_output_reg[]/CE,5,-0.139,-0.048
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/load_enable_reg/C -> sfo/residual_estimator/aux_service/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst/count_value_i_reg[]/D,4,-0.134,-0.048
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/pr4_reg_i_3_psdsp/D,1,-0.133,-0.133
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_7/ENBWREN,1,-0.132,-0.132
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/pr4_reg_i_2_psdsp_1/D,1,-0.129,-0.129
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/pr4_reg_i_3_psdsp_1/D,1,-0.125,-0.125
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_4/ENBWREN,1,-0.121,-0.121
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/pr4_reg_i_4_psdsp_1/D,1,-0.118,-0.118
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_1_psdsp/D,1,-0.117,-0.117
