"GROUP","SLACK","REQUIREMENT","STARTPOINT_PIN","ENDPOINT_PIN","STARTPOINT_CLOCK","ENDPOINT_CLOCK","DATAPATH_DELAY","LOGIC_LEVELS","SKEW","UNCERTAINTY"
"clk500","-0.199","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_count_reg[1]/CE","clk500","clk500","2.097","4","-0.008","0.035"
"clk500","-0.178","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[105]/CE","clk500","clk500","2.075","4","-0.008","0.035"
"clk500","-0.175","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[117]/CE","clk500","clk500","2.072","4","-0.007","0.035"
"clk500","-0.174","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[5]","clk500","clk500","1.902","3","0.011","0.035"
"clk500","-0.172","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[8]","clk500","clk500","1.887","3","0.011","0.035"
"clk500","-0.169","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/pr4_reg_i_5_psdsp_1/D","clk500","clk500","2.103","2","-0.056","0.035"
"clk500","-0.165","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/rr3_reg_i_5_psdsp/D","clk500","clk500","2.100","2","-0.055","0.035"
"clk500","-0.164","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/rr3_reg_i_5_psdsp_1/D","clk500","clk500","2.099","2","-0.055","0.035"
"clk500","-0.159","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[17]/CE","clk500","clk500","2.056","4","-0.008","0.035"
"clk500","-0.159","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[34]/CE","clk500","clk500","2.056","4","-0.008","0.035"
"clk500","-0.156","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[13]/CE","clk500","clk500","2.053","4","-0.007","0.035"
"clk500","-0.156","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[18]/CE","clk500","clk500","2.053","4","-0.007","0.035"
"clk500","-0.156","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[38]/CE","clk500","clk500","2.053","4","-0.007","0.035"
"clk500","-0.156","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[41]/CE","clk500","clk500","2.053","4","-0.007","0.035"
"clk500","-0.155","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[122]/CE","clk500","clk500","2.052","4","-0.007","0.035"
"clk500","-0.155","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[20]/CE","clk500","clk500","2.052","4","-0.007","0.035"
"clk500","-0.155","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[42]/CE","clk500","clk500","2.052","4","-0.007","0.035"
"clk500","-0.155","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[8]/CE","clk500","clk500","2.052","4","-0.007","0.035"
"clk500","-0.154","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[107]/CE","clk500","clk500","2.051","4","-0.007","0.035"
"clk500","-0.154","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[94]/CE","clk500","clk500","2.051","4","-0.007","0.035"
"clk500","-0.154","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[10]","clk500","clk500","1.891","3","0.011","0.035"
"clk500","-0.151","2.000","cfo/observation_front/fft_core/input_index_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/ADDRARDADDR[9]","clk500","clk500","1.860","4","0.009","0.035"
