GROUP,SLACK,REQUIREMENT,STARTPOINT_PIN,ENDPOINT_PIN,DATAPATH_DELAY,LOGIC_LEVELS
"clk500","-0.199","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_count_reg[1]/CE","2.097","4"
"clk500","-0.178","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[105]/CE","2.075","4"
"clk500","-0.175","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[117]/CE","2.072","4"
"clk500","-0.174","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[5]","1.902","3"
"clk500","-0.172","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[8]","1.887","3"
"clk500","-0.169","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/pr4_reg_i_5_psdsp_1/D","2.103","2"
"clk500","-0.165","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/rr3_reg_i_5_psdsp/D","2.100","2"
"clk500","-0.164","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/rr3_reg_i_5_psdsp_1/D","2.099","2"
"clk500","-0.159","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[17]/CE","2.056","4"
"clk500","-0.159","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[34]/CE","2.056","4"
"clk500","-0.156","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[13]/CE","2.053","4"
"clk500","-0.156","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[18]/CE","2.053","4"
"clk500","-0.156","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[38]/CE","2.053","4"
"clk500","-0.156","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[41]/CE","2.053","4"
"clk500","-0.155","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[122]/CE","2.052","4"
"clk500","-0.155","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[20]/CE","2.052","4"
"clk500","-0.155","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[42]/CE","2.052","4"
"clk500","-0.155","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[8]/CE","2.052","4"
"clk500","-0.154","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[107]/CE","2.051","4"
"clk500","-0.154","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[94]/CE","2.051","4"
"clk500","-0.154","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[10]","1.891","3"
"clk500","-0.151","2.000","cfo/observation_front/fft_core/input_index_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/ADDRARDADDR[9]","1.860","4"
"clk500","-0.148","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/ADDRARDADDR[11]","1.861","3"
"clk500","-0.148","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/ADDRARDADDR[12]","1.845","3"
"clk500","-0.146","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/ADDRARDADDR[14]","1.835","3"
"clk500","-0.143","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/rr3_reg_i_4_psdsp/D","2.078","2"
"clk500","-0.141","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[119]/CE","2.038","4"
"clk500","-0.141","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[79]/CE","2.038","4"
"clk500","-0.140","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[106]/CE","2.037","4"
"clk500","-0.140","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[124]/CE","2.037","4"
"clk500","-0.140","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[74]/CE","2.037","4"
"clk500","-0.140","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[76]/CE","2.038","4"
"clk500","-0.140","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[85]/CE","2.037","4"
"clk500","-0.140","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[88]/CE","2.037","4"
"clk500","-0.138","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/m_error_reg[1]/CE","2.033","6"
"clk500","-0.134","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[2]/CE","2.029","6"
"clk500","-0.134","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[4]/CE","2.029","6"
"clk500","-0.134","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[5]/CE","2.029","6"
"clk500","-0.133","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[3]/CE","2.029","6"
"clk500","-0.133","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[6]/CE","2.029","6"
"clk500","-0.133","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/pr4_reg_i_3_psdsp/D","2.067","2"
"clk500","-0.132","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_7/ENBWREN","1.767","3"
"clk500","-0.131","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[22]","1.841","3"
"clk500","-0.131","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst/count_value_i_reg[0]/CE","2.028","4"
