clock,module,endpoints,old_WNS_ns,old_TNS_ns,margin_deficit_ns
clk125,sfo/initial_estimator/service/frontend/correction/u_gain,30676,1.002,0,8782.951
clk125,sfo/initial_estimator/service/frontend/capture/u_reader,712,0.153,0,858.973
clk125,sfo/initial_estimator/service/backend/backend/regression,322,0.661,0,209.826
clk125,sfo/initial_estimator/service/backend/extractor,383,0.755,0,70.292
clk125,sfo/initial_estimator/service/backend/extractor/width_fifo,127,0.56,0,64.895
clk125,sfo/residual_estimator/backend/peak,90,0.372,0,58.568
clk125,sfo/initial_estimator/service/frontend/capture/u_capture,91,0.552,0,53.11
clk125,frontend,130,0.928,0,42.423
clk125,sfo/initial_estimator/service/backend/backend/storage,175,0.95,0,39.183
clk125,sfo/initial_estimator/service/backend/observations/engines[1].engine,69,0.749,0,24.062
clk125,sfo/initial_estimator/service/backend/observations/engines[0].engine,68,0.809,0,21.72
clk125,sfo/initial_estimator/service/backend/observations,150,1.259,0,20.555
clk125,sfo/initial_estimator/owner/fft/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst,23,0.795,0,12.528
clk125,sfo/initial_estimator/service/backend/extractor/first_symbol,18,0.462,0,9.507
clk125,sfo/initial_estimator/service/context_join,60,1.256,0,9.426
clk125,sfo/initial_estimator/service/frontend/correction/u_raw_fifo,20,1.146,0,6.8790000000000004
clk125,frontend/fine_confirmation/u_core/u_partitioned_correlation/u_corrected_buffer/u_corrected_copy_b,32,0.997,0,6.596
clk125,sfo/two_pass_transport/shared_raw.hub/raw_cdc/record_fifo/gnuram_async_fifo.xpm_fifo_base_inst,22,1.063,0,5.319
clk125,frontend/fine_confirmation/u_core/u_partitioned_correlation/u_corrected_buffer/u_corrected_copy_a,19,1.123,0,3.253
clk125,sfo/residual_estimator/front_stage/main/reader,13,1.377,0,2.835
clk125,frontend/raw_history/memory/xpm_memory_base_inst,18,1.195,0,2.653
clk125,sfo/residual_estimator/front_stage/grid,10,1.4,0,0.883
clk125,sfo/initial_estimator/service/backend/backend,7,1.523,0,0.426
clk125,frontend/fine_confirmation/u_core/u_partitioned_correlation/u_peak_selector,2,1.451,0,0.236
clk125,sfo/two_pass_transport/residual_data_cdc/record_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst,1,1.383,0,0.217
clk150,sfo/two_pass_transport/intermediate[1].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst,3391,0.017,0,1498.273332203
clk150,cfo/coarse_banks[0].memory/u_frame_memory/xpm_memory_base_inst,2946,0.024,0,1299.988999018
clk150,sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst,2755,0.015,0,1240.262332415
clk150,cfo/coarse_banks[1].memory/u_frame_memory/xpm_memory_base_inst,1475,0.064,0,626.659666175
clk150,sfo/two_pass_transport/second_resampling/engine/core/stream,1688,0.287,0,604.223666104
clk150,sfo/two_pass_transport/output_buffer/storage/u_frame_memory/xpm_memory_base_inst,1245,0.156,0,466.624999585
clk150,sfo/two_pass_transport/shared_raw.hub/raw_store/memory/u_frame_memory,951,0.009,0,393.147999683
clk150,cfo,531,0.263,0,280.916999823
clk150,sfo/two_pass_transport/second_resampling/engine/core/fir15_interpolator,534,0.212,0,278.675999822
clk150,sfo/two_pass_transport/intermediate[1].intermediate_bank,262,0.119,0,176.334333246
clk150,sfo/two_pass_transport/first_resampling/engine/core/fir47_decimator,281,0.471,0,143.300666573
clk150,sfo/two_pass_transport/first_resampling/engine/core/stream,583,0.425,0,136.942333139
clk150,cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst,53,0.564,0,21.882666649
clk150,sfo/two_pass_transport/shared_raw.hub/raw_store,143,0.893,0,21.542666619
clk150,sfo/two_pass_transport/first_resampling/engine/core/fir15_decimator,60,0.705,0,9.55699998
clk150,sfo/two_pass_transport/first_resampling/engine/core/fir15_interpolator,49,1.017,0,8.267333317
clk150,sfo/two_pass_transport/first_resampling/engine,39,0.748,0,8.201999987
clk150,sfo/two_pass_transport/first_resampling/engine/core,32,1.145,0,4.490666656
clk150,sfo/two_pass_transport/intermediate[1].intermediate_bank/responses/memory/xpm_fifo_base_inst,11,0.229,0,3.073666663
clk150,cfo/windows,8,0.899,0,2.783666664
clk150,sfo/two_pass_transport/intermediate[0].intermediate_bank/responses/memory/xpm_fifo_base_inst,9,0.517,0,2.6409999969999998
clk150,sfo/two_pass_transport/first_resampling/descriptor,23,1.244,0,1.597666659
clk150,context_join/second_queue/memory/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst,8,1.07,0,1.548666664
clk150,sfo/two_pass_transport/second_resampling/engine,19,0.981,0,1.327333327
clk150,sfo/two_pass_transport/reset_150,5,0.616,0,1.189666665
clk150,sfo/two_pass_transport/intermediate[0].intermediate_bank,16,1.005,0,1.171333328
clk150,sfo/two_pass_transport/output_buffer/headers/memory/xpm_fifo_base_inst,2,0.691,0,1.091666666
clk150,sfo/two_pass_transport/initial_context_cdc/record_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst,7,0.928,0,1.016333331
clk150,sfo/two_pass_transport/second_resampling/engine/core/fir15_decimator,8,1.32,0,0.10266666399999999
clk150,sfo/two_pass_transport/first_resampling/engine/pack,1,1.283,0,0.050333333
clk150,cfo/windows/complete_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst,1,1.333,0,0.000333333
clk500,cfo/windows,692,-0.199,-10.849,208.207
clk500,sfo/residual_estimator/aux_service/u_xfft/U0/i_synth,1003,-0.011,-0.017,167.824
clk500,cfo/observation_front/fft_core,574,-0.174,-10.027,160.443
clk500,cfo/observation_front,317,-0.169,-2.056,40.87
clk500,sfo/residual_estimator/front_stage/main/service/u_xfft,236,-0.064,-0.725,38.993
clk500,cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst,152,-0.132,-0.589,20.18
clk500,sfo/initial_estimator/owner/fft/u_xfft/U0,92,0.08,0,14.935
clk500,sfo/initial_estimator/owner/fft/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst,56,0.095,0,7.657
clk500,cfo/estimator,59,0.061,0,5.171
clk500,sfo/residual_estimator/aux_service/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst,16,-0.048,-0.134,4.22
clk500,cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdpp1_inst,11,-0.028,-0.062,4.02
clk500,cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst,16,0.065,0,3.323
clk500,sfo/residual_estimator/aux_service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst,17,0.002,0,3.225
clk500,sfo/residual_estimator/aux_service/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdpp1_inst,11,0.041,0,2.835
