source_relative,destination_relative,source_sha256,destination_sha256,change_note
reports/t09/design/T09_CLOSED002_rev02/package/t09_closed002_rev02.m,matlab/source_snapshots/CLOSED002_rev02/t09_closed002_rev02.m,ec67e27c7521096848d8e96c29a4486cf36fa0d83c6c9658271f4fc37bec001d,ec67e27c7521096848d8e96c29a4486cf36fa0d83c6c9658271f4fc37bec001d,exact byte copy
reports/t09/design/T09_CLOSED002_rev02/package/t09_dtp_float002.m,matlab/source_snapshots/CLOSED002_rev02/t09_dtp_float002.m,844fd0523162c14311524c5249c131dec43443c4cc44a67a054d2e16149be625,844fd0523162c14311524c5249c131dec43443c4cc44a67a054d2e16149be625,exact byte copy
reports/t09/design/T09_CLOSED002_rev02/package/run_t09_closed002_rev02.ps1,matlab/source_snapshots/CLOSED002_rev02/run_t09_closed002_rev02.ps1,6defe6178f0d0e2b66e9c3bc2586136ec1bd1427263d10278f3580dfaec32ab1,6defe6178f0d0e2b66e9c3bc2586136ec1bd1427263d10278f3580dfaec32ab1,exact byte copy
reports/t09/design/T09_CLOSED002_rev02/package/PLAN_ZH.md,matlab/source_snapshots/CLOSED002_rev02/PLAN_ZH.md,cbc60fd473307fd8efa59ddf9e81031927f3f72506a07b2e3e508576fdd541d6,cbc60fd473307fd8efa59ddf9e81031927f3f72506a07b2e3e508576fdd541d6,exact byte copy
reports/t09/design/T09_CLOSED002_rev02/package/config/frame_config.json,matlab/source_snapshots/CLOSED002_rev02/config/frame_config.json,ad9f405fa117c6db42fe241981ff7837bc842aca4e9b31e37203eef65dd0830c,ad9f405fa117c6db42fe241981ff7837bc842aca4e9b31e37203eef65dd0830c,exact byte copy
reports/t09/design/T09_CLOSED002_rev02/package/artifacts/T02_frame_design/t02_production_artifacts.mat,matlab/source_snapshots/CLOSED002_rev02/artifacts/T02_frame_design/t02_production_artifacts.mat,006443a1d2a2f4f0a10adc0c7735e487ce57e3ee451d13834213ff7b75da58fd,006443a1d2a2f4f0a10adc0c7735e487ce57e3ee451d13834213ff7b75da58fd,exact byte copy
reports/t09/design/T09_CLOSED002_rev02/package/common/bistatic_active_indices.m,matlab/source_snapshots/CLOSED002_rev02/common/bistatic_active_indices.m,bf68f92931ecc3a16a40b86ecae6943a48f960ce0dd1ccce6d2ffaa7b15a0ea0,bf68f92931ecc3a16a40b86ecae6943a48f960ce0dd1ccce6d2ffaa7b15a0ea0,exact byte copy
reports/t09/design/T09_CLOSED002_rev02/package/common/bistatic_apply_channel.m,matlab/source_snapshots/CLOSED002_rev02/common/bistatic_apply_channel.m,85dbeaf667436ae0b13e2f3f546f1ab5f337f30e6e2fa87874df2dae769b895c,85dbeaf667436ae0b13e2f3f546f1ab5f337f30e6e2fa87874df2dae769b895c,exact byte copy
reports/t09/design/T09_CLOSED002_rev02/package/common/bistatic_apply_cp_ofdm_channel.m,matlab/source_snapshots/CLOSED002_rev02/common/bistatic_apply_cp_ofdm_channel.m,b27fe82edb3db01125da3128cc4a2f5ff8bc53a61c9dddfa22504ea9639f7add,b27fe82edb3db01125da3128cc4a2f5ff8bc53a61c9dddfa22504ea9639f7add,exact byte copy
reports/t09/design/T09_CLOSED002_rev02/package/common/bistatic_apply_sample_domain_channel.m,matlab/source_snapshots/CLOSED002_rev02/common/bistatic_apply_sample_domain_channel.m,fb77d0da2ec73af32bf94c7215f5614505b25ff83e241d227e65cfb980dfd683,fb77d0da2ec73af32bf94c7215f5614505b25ff83e241d227e65cfb980dfd683,exact byte copy
