"IP","Parameter","Value","Expected","SourceMatches"
"farrow_add_18","AINIT_Value","0","0","1"
"farrow_add_18","A_Type","Signed","Signed","1"
"farrow_add_18","A_Width","18","18","1"
"farrow_add_18","Add_Mode","Add_Subtract","Add_Subtract","1"
"farrow_add_18","B_Constant","false","false","1"
"farrow_add_18","B_Type","Signed","Signed","1"
"farrow_add_18","B_Value","000000000000000000","000000000000000000","1"
"farrow_add_18","B_Width","18","18","1"
"farrow_add_18","Borrow_Sense","Active_Low","Active_Low","1"
"farrow_add_18","Bypass","false","false","1"
"farrow_add_18","Bypass_CE_Priority","CE_Overrides_Bypass","CE_Overrides_Bypass","1"
"farrow_add_18","Bypass_Sense","Active_High","Active_High","1"
"farrow_add_18","CE","false","false","1"
"farrow_add_18","C_In","false","false","1"
"farrow_add_18","C_Out","false","false","1"
"farrow_add_18","Component_Name","farrow_add_18","farrow_add_18","1"
"farrow_add_18","Implementation","Fabric","Fabric","1"
"farrow_add_18","Latency","1","1","1"
"farrow_add_18","Latency_Configuration","Manual","Manual","1"
"farrow_add_18","Out_Width","18","18","1"
"farrow_add_18","SCLR","true","true","1"
"farrow_add_18","SINIT","false","false","1"
"farrow_add_18","SINIT_Value","0","0","1"
"farrow_add_18","SSET","false","false","1"
"farrow_add_18","Sync_CE_Priority","Sync_Overrides_CE","Sync_Overrides_CE","1"
"farrow_add_18","Sync_Ctrl_Priority","Reset_Overrides_Set","Reset_Overrides_Set","1"
"farrow_add_28","AINIT_Value","0","0","1"
"farrow_add_28","A_Type","Signed","Signed","1"
"farrow_add_28","A_Width","28","28","1"
"farrow_add_28","Add_Mode","Add_Subtract","Add_Subtract","1"
"farrow_add_28","B_Constant","false","false","1"
"farrow_add_28","B_Type","Signed","Signed","1"
"farrow_add_28","B_Value","0000000000000000000000000000","0000000000000000000000000000","1"
"farrow_add_28","B_Width","28","28","1"
"farrow_add_28","Borrow_Sense","Active_Low","Active_Low","1"
"farrow_add_28","Bypass","false","false","1"
"farrow_add_28","Bypass_CE_Priority","CE_Overrides_Bypass","CE_Overrides_Bypass","1"
"farrow_add_28","Bypass_Sense","Active_High","Active_High","1"
"farrow_add_28","CE","false","false","1"
"farrow_add_28","C_In","false","false","1"
"farrow_add_28","C_Out","false","false","1"
"farrow_add_28","Component_Name","farrow_add_28","farrow_add_28","1"
"farrow_add_28","Implementation","Fabric","Fabric","1"
"farrow_add_28","Latency","1","1","1"
"farrow_add_28","Latency_Configuration","Manual","Manual","1"
"farrow_add_28","Out_Width","28","28","1"
"farrow_add_28","SCLR","true","true","1"
"farrow_add_28","SINIT","false","false","1"
"farrow_add_28","SINIT_Value","0","0","1"
"farrow_add_28","SSET","false","false","1"
"farrow_add_28","Sync_CE_Priority","Sync_Overrides_CE","Sync_Overrides_CE","1"
"farrow_add_28","Sync_Ctrl_Priority","Reset_Overrides_Set","Reset_Overrides_Set","1"
"farrow_add_32","AINIT_Value","0","0","1"
"farrow_add_32","A_Type","Signed","Signed","1"
"farrow_add_32","A_Width","32","32","1"
"farrow_add_32","Add_Mode","Add_Subtract","Add_Subtract","1"
"farrow_add_32","B_Constant","false","false","1"
"farrow_add_32","B_Type","Signed","Signed","1"
"farrow_add_32","B_Value","00000000000000000000000000000000","00000000000000000000000000000000","1"
"farrow_add_32","B_Width","32","32","1"
"farrow_add_32","Borrow_Sense","Active_Low","Active_Low","1"
"farrow_add_32","Bypass","false","false","1"
"farrow_add_32","Bypass_CE_Priority","CE_Overrides_Bypass","CE_Overrides_Bypass","1"
"farrow_add_32","Bypass_Sense","Active_High","Active_High","1"
"farrow_add_32","CE","false","false","1"
"farrow_add_32","C_In","false","false","1"
"farrow_add_32","C_Out","false","false","1"
"farrow_add_32","Component_Name","farrow_add_32","farrow_add_32","1"
"farrow_add_32","Implementation","Fabric","Fabric","1"
"farrow_add_32","Latency","1","1","1"
"farrow_add_32","Latency_Configuration","Manual","Manual","1"
"farrow_add_32","Out_Width","32","32","1"
"farrow_add_32","SCLR","true","true","1"
"farrow_add_32","SINIT","false","false","1"
"farrow_add_32","SINIT_Value","0","0","1"
"farrow_add_32","SSET","false","false","1"
"farrow_add_32","Sync_CE_Priority","Sync_Overrides_CE","Sync_Overrides_CE","1"
"farrow_add_32","Sync_Ctrl_Priority","Reset_Overrides_Set","Reset_Overrides_Set","1"
"farrow_mul_h16","CcmImp","Distributed_Memory","Distributed_Memory","1"
"farrow_mul_h16","ClockEnable","false","false","1"
"farrow_mul_h16","Component_Name","farrow_mul_h16","farrow_mul_h16","1"
"farrow_mul_h16","ConstValue","129","129","1"
"farrow_mul_h16","InternalUser","0","0","1"
"farrow_mul_h16","MultType","Parallel_Multiplier","Parallel_Multiplier","1"
"farrow_mul_h16","Multiplier_Construction","Use_Mults","Use_Mults","1"
"farrow_mul_h16","OptGoal","Speed","Speed","1"
"farrow_mul_h16","OutputWidthHigh","26","26","1"
"farrow_mul_h16","OutputWidthLow","0","0","1"
"farrow_mul_h16","PipeStages","3","3","1"
"farrow_mul_h16","PortAType","Signed","Signed","1"
"farrow_mul_h16","PortAWidth","19","19","1"
"farrow_mul_h16","PortBType","Unsigned","Unsigned","1"
"farrow_mul_h16","PortBWidth","8","8","1"
"farrow_mul_h16","RoundPoint","0","0","1"
"farrow_mul_h16","SclrCePriority","SCLR_Overrides_CE","SCLR_Overrides_CE","1"
"farrow_mul_h16","SyncClear","true","true","1"
"farrow_mul_h16","UseRounding","false","false","1"
"farrow_mul_h16","Use_Custom_Output_Width","false","false","1"
"farrow_mul_h16","ZeroDetect","false","false","1"
"farrow_mul_t16","CcmImp","Distributed_Memory","Distributed_Memory","1"
"farrow_mul_t16","ClockEnable","false","false","1"
"farrow_mul_t16","Component_Name","farrow_mul_t16","farrow_mul_t16","1"
"farrow_mul_t16","ConstValue","129","129","1"
"farrow_mul_t16","InternalUser","0","0","1"
"farrow_mul_t16","MultType","Parallel_Multiplier","Parallel_Multiplier","1"
"farrow_mul_t16","Multiplier_Construction","Use_Mults","Use_Mults","1"
"farrow_mul_t16","OptGoal","Speed","Speed","1"
