slot,frame_id,generation,peak_bin,delta_bin_q16,delay_q16,quality_flags,valid,point_w0,point_w1,point_w2,point_w3,point_w4
0,6001,1,0,-837,-418,15,1,0x7FFFCBDF,0x00007F97,0x00000002,0x00002EE2,0x00000000
1,6001,1,0,-1399,-700,15,1,0x3FFFA89F,0x04007F51,0x00000002,0x00002EE2,0x00000000
2,6001,1,0,-490,-245,15,1,0xDFFFE17F,0x08007FC2,0x00000002,0x00002EE2,0x00000000
3,6001,1,0,-22,-11,15,1,0x5FFFFEBF,0x0C007FFD,0x00000002,0x00002EE2,0x00000000
4,6001,1,0,-1992,-996,15,1,0x1FFF839F,0x10007F07,0x00000002,0x00002EE2,0x00000000
5,6001,1,0,-716,-358,15,1,0x9FFFD35F,0x14007FA6,0x00000002,0x00002EE2,0x00000000
6,6001,1,0,-2369,-1184,15,1,0xFFFF6C1F,0x18007ED7,0x00000002,0x00002EE2,0x00000000
7,6001,1,0,-2556,-1278,15,1,0x9FFF605F,0x1C007EC0,0x00000002,0x00002EE2,0x00000000
8,6001,1,0,-1138,-569,15,1,0xDFFFB8FF,0x20007F71,0x00000002,0x00002EE2,0x00000000
9,6001,1,0,190,95,15,1,0xC0000BFF,0x24000017,0x00000002,0x00002EE2,0x00000000
10,6001,1,0,-314,-157,15,1,0xDFFFEC7F,0x28007FD8,0x00000002,0x00002EE2,0x00000000
11,6001,1,0,-3677,-1838,15,1,0x7FFF1A5F,0x2C007E34,0x00000002,0x00002EE2,0x00000000
12,6001,1,0,-3035,-1518,15,1,0xBFFF425F,0x30007E84,0x00000002,0x00002EE2,0x00000000
13,6001,1,0,-478,-239,15,1,0x5FFFE23F,0x34007FC4,0x00000002,0x00002EE2,0x00000000
14,6001,1,0,-455,-228,15,1,0x3FFFE39F,0x38007FC7,0x00000002,0x00002EE2,0x00000000
15,6001,1,0,-3272,-1636,15,1,0x1FFF339F,0x3C007E67,0x00000002,0x00002EE2,0x00000000
16,6001,1,0,-2736,-1368,15,1,0x1FFF551F,0x40007EAA,0x00000002,0x00002EE2,0x00000000
17,6001,1,0,-410,-205,15,1,0xDFFFE67F,0x44007FCC,0x00000002,0x00002EE2,0x00000000
18,6001,1,0,-2989,-1494,15,1,0x7FFF455F,0x48007E8A,0x00000002,0x00002EE2,0x00000000
19,6001,1,0,-426,-213,15,1,0xDFFFE57F,0x4C007FCA,0x00000002,0x00002EE2,0x00000000
20,6001,1,0,-4912,-2456,15,1,0x1FFECD1F,0x50007D9A,0x00000002,0x00002EE2,0x00000000
21,6001,1,0,-3899,-1950,15,1,0xBFFF0C5F,0x54007E18,0x00000002,0x00002EE2,0x00000000
22,6001,1,0,-5522,-2761,15,1,0xDFFEA6FF,0x58007D4D,0x00000002,0x00002EE2,0x00000000
23,6001,1,0,-2082,-1041,15,1,0xDFFF7DFF,0x5C007EFB,0x00000002,0x00002EE2,0x00000000
24,6001,1,0,-3610,-1805,15,1,0xDFFF1E7F,0x60007E3C,0x00000002,0x00002EE2,0x00000000
25,6001,1,0,-4005,-2002,15,1,0x7FFF05DF,0x64007E0B,0x00000002,0x00002EE2,0x00000000
26,6001,1,0,-3033,-1516,15,1,0xFFFF429F,0x68007E84,0x00000002,0x00002EE2,0x00000000
27,6001,1,0,-4079,-2040,15,1,0x3FFF011F,0x6C007E02,0x00000002,0x00002EE2,0x00000000
28,6001,1,0,-4984,-2492,15,1,0x1FFEC89F,0x70007D91,0x00000002,0x00002EE2,0x00000000
29,6001,1,0,-4118,-2059,15,1,0x5FFEFEBF,0x74007DFD,0x00000002,0x00002EE2,0x00000000
30,6001,1,0,-6475,-3238,15,1,0xBFFE6B5F,0x78007CD6,0x00000002,0x00002EE2,0x00000000
31,6001,1,0,-3445,-1722,15,1,0x7FFF28DF,0x7C007E51,0x00000002,0x00002EE2,0x00000000
32,6001,1,0,-1239,-620,15,1,0x3FFFB29F,0x80007F65,0x00000002,0x00002EE2,0x00000000
33,6001,1,0,-6101,-3050,15,1,0x7FFE82DF,0x84007D05,0x00000002,0x00002EE2,0x00000000
34,6001,1,0,-3837,-1918,15,1,0x7FFF105F,0x88007E20,0x00000002,0x00002EE2,0x00000000
35,6001,1,0,-4894,-2447,15,1,0x5FFECE3F,0x8C007D9C,0x00000002,0x00002EE2,0x00000000
36,6001,1,0,-2730,-1365,15,1,0xDFFF557F,0x90007EAA,0x00000002,0x00002EE2,0x00000000
37,6001,1,0,-7059,-3530,15,1,0xBFFE46DF,0x94007C8D,0x00000002,0x00002EE2,0x00000000
38,6001,1,0,-3231,-1616,15,1,0x3FFF361F,0x98007E6C,0x00000002,0x00002EE2,0x00000000
39,6001,1,0,-4970,-2485,15,1,0xDFFEC97F,0x9C007D92,0x00000002,0x00002EE2,0x00000000
40,6001,1,0,-3731,-1866,15,1,0xBFFF16DF,0xA0007E2D,0x00000002,0x00002EE2,0x00000000
41,6001,1,0,-5969,-2984,15,1,0xFFFE8B1F,0xA4007D15,0x00000002,0x00002EE2,0x00000000
42,6001,1,0,-4752,-2376,15,1,0x1FFED71F,0xA8007DAE,0x00000002,0x00002EE2,0x00000000
43,6001,1,0,-6049,-3024,15,1,0xFFFE861F,0xAC007D0B,0x00000002,0x00002EE2,0x00000000
44,6001,1,0,-8654,-4327,15,1,0x5FFDE33F,0xB0007BC6,0x00000002,0x00002EE2,0x00000000
45,6001,1,0,-3463,-1732,15,1,0x3FFF279F,0xB4007E4F,0x00000002,0x00002EE2,0x00000000
46,6001,1,0,-5490,-2745,15,1,0xDFFEA8FF,0xB8007D51,0x00000002,0x00002EE2,0x00000000
47,6001,1,0,-4303,-2152,15,1,0x3FFEF31F,0xBC007DE6,0x00000002,0x00002EE2,0x00000000
48,6001,1,0,-4838,-2419,15,1,0x5FFED1BF,0xC0007DA3,0x00000002,0x00002EE2,0x00000000
49,6001,1,0,-5201,-2600,15,1,0xFFFEBB1F,0xC4007D75,0x00000002,0x00002EE2,0x00000000
50,6001,1,0,-6060,-3030,15,1,0x9FFE855F,0xC8007D0A,0x00000002,0x00002EE2,0x00000000
51,6001,1,0,-3965,-1982,15,1,0x7FFF085F,0xCC007E10,0x00000002,0x00002EE2,0x00000000
52,6001,1,0,-6044,-3022,15,1,0x9FFE865F,0xD0007D0C,0x00000002,0x00002EE2,0x00000000
53,6001,1,0,-9017,-4508,15,1,0xFFFDCC9F,0xD4007B98,0x00000002,0x00002EE2,0x00000000
54,6001,1,0,-7538,-3769,15,1,0xDFFE28FF,0xD8007C51,0x00000002,0x00002EE2,0x00000000
55,6001,1,0,-5520,-2760,15,1,0x1FFEA71F,0xDC007D4E,0x00000002,0x00002EE2,0x00000000
56,6001,1,0,-9720,-4860,15,1,0x1FFDA09F,0xE0007B41,0x00000002,0x00002EE2,0x00000000
57,6001,1,0,-8272,-4136,15,1,0x1FFDFB1F,0xE4007BF6,0x00000002,0x00002EE2,0x00000000
58,6001,1,0,-8879,-4440,15,1,0x3FFDD51F,0xE8007BAA,0x00000002,0x00002EE2,0x00000000
