"Case","Source","ExpectedItems","CompletedItems","CompletedTraceItems","Pass","ResultStatus","FrameIds","ResultPath","Notes"
"C01","prior_attempt","1","1","1","1","4800","6001","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C01","retained prior independent behavioral result"
"C02","prior_attempt","1","1","1","1","4800","6002","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C02","retained prior independent behavioral result"
"C03","prior_attempt","1","1","1","1","4800","6003","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C03","retained prior independent behavioral result"
"C04","prior_attempt","1","1","1","1","4800","6004","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C04","retained prior independent behavioral result"
"C05","prior_attempt","1","1","1","1","4800","6005","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C05","retained prior independent behavioral result"
"C06","prior_attempt","1","1","1","1","4800","6006","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C06","retained prior independent behavioral result"
"C07","prior_attempt","1","1","1","1","4800","6007","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C07","retained prior independent behavioral result"
"C08","prior_attempt","1","1","1","1","4800","6008","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C08","retained prior independent behavioral result"
"C09","prior_attempt","1","1","1","1","4800","6009","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C09","retained prior independent behavioral result"
"C10","prior_attempt","1","1","1","1","4800","6010","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C10","retained prior independent behavioral result"
"C11","prior_attempt","1","1","1","1","4800","6011","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C11","retained prior independent behavioral result"
"C12","prior_attempt","1","1","1","1","4402","6012","D:\007 Dev\OTA_RTL_0829\.t06work\compact14_54236_ec400a97\vivado_project\compact14.sim\sim_1\behav\xsim\results\C12","retained prior independent behavioral result"
"C13","focused_attempt","3","3","3","1","CONTINUOUS_C04_C02_C06","13000;13001;13002","D:\007 Dev\OTA_RTL_0829\reports\T06_initial_sfo\compact14_c13_c14\a20260903T185548969Z_47672\simulation\C13\results\C13","first tap interval must be exactly 334080 cycles"
"C14","focused_attempt","5","5","6","1","DIRECTED_PROTOCOL_AND_FAULT_CLOSE","","D:\007 Dev\OTA_RTL_0829\reports\T06_initial_sfo\compact14_c13_c14\a20260903T185548969Z_47672\simulation\C14\results\C14","5 logical subtests; reset recovery has interrupted/recovered traces"
