Frame,Index,Lane,Abs,Phase,I,Q
6002,0,0,5632,0,721,734
6002,0,1,5633,858993,-3332,-1978
6002,0,2,5634,1717986,-4633,-2050
6002,0,3,5635,2576979,567,1258
6002,1,0,5636,3435972,1202,1074
6002,1,1,5637,4294965,-100,1113
6002,1,2,5638,5153958,-342,1398
6002,1,3,5639,6012951,-2678,-2770
6002,2,0,5640,6871944,-2801,-2484
6002,2,1,5641,7730937,778,3012
6002,2,2,5642,8589930,-2316,-1614
6002,2,3,5643,9448923,-7062,-3270
6002,3,0,5644,10307916,2918,3769
6002,3,1,5645,11166909,8619,-461
6002,3,2,5646,12025902,-3568,-5462
6002,3,3,5647,12884895,-7171,-2782
6002,4,0,5648,13743888,1539,1205
6002,4,1,5649,14602881,2374,5412
6002,4,2,5650,15461874,-3539,2760
6002,4,3,5651,16320867,-2286,-1880
6002,5,0,5652,17179860,5022,-4555
6002,5,1,5653,18038853,4600,-3598
6002,5,2,5654,18897846,-1712,-146
6002,5,3,5655,19756839,-2749,-303
6002,6,0,5656,20615832,-135,3563
6002,6,1,5657,21474825,528,-1630
6002,6,2,5658,22333818,405,-6779
6002,6,3,5659,23192811,2315,5167
6002,7,0,5660,24051804,4532,-54
6002,7,1,5661,24910797,3589,-3945
6002,7,2,5662,25769790,-375,5618
6002,7,3,5663,26628783,1590,-3727
6002,8,0,5664,27487776,8072,-5043
6002,8,1,5665,28346769,3244,277
6002,8,2,5666,29205762,-2803,-1010
6002,8,3,5667,30064755,2325,4461
6002,9,0,5668,30923748,3983,836
6002,9,1,5669,31782741,-2081,102
6002,9,2,5670,32641734,-6439,-325
6002,9,3,5671,33500727,-3555,-6405
6002,10,0,5672,34359720,-876,2382
6002,10,1,5673,35218713,-1958,-2
6002,10,2,5674,36077706,2428,-6245
6002,10,3,5675,36936699,2587,-74
6002,11,0,5676,37795692,-1450,-1608
6002,11,1,5677,38654685,60,3760
6002,11,2,5678,39513678,-1257,6833
6002,11,3,5679,40372671,617,-556
6002,12,0,5680,41231664,1705,-3116
6002,12,1,5681,42090657,-3490,-6429
6002,12,2,5682,42949650,-1650,-868
6002,12,3,5683,43808643,-935,1409
6002,13,0,5684,44667636,-837,-3822
6002,13,1,5685,45526629,-1920,1663
6002,13,2,5686,46385622,-9812,-4093
6002,13,3,5687,47244615,-3701,-8228
6002,14,0,5688,48103608,4221,5232
6002,14,1,5689,48962601,-1236,5389
6002,14,2,5690,49821594,-3095,-2688
6002,14,3,5691,50680587,-1272,-4960
6002,15,0,5692,51539580,487,-3258
6002,15,1,5693,52398573,-3622,2294
6002,15,2,5694,53257566,-4447,3431
6002,15,3,5695,54116559,5703,1373
6002,16,0,5696,54975552,2935,-2055
6002,16,1,5697,55834545,832,-3506
6002,16,2,5698,56693538,5299,2344
6002,16,3,5699,57552531,-5089,2723
6002,17,0,5700,58411524,-6288,-2207
6002,17,1,5701,59270517,-1527,794
6002,17,2,5702,60129510,-6742,1416
6002,17,3,5703,60988503,-1820,-3731
6002,18,0,5704,61847496,2142,530
6002,18,1,5705,62706489,1480,162
6002,18,2,5706,63565482,4723,-10488
6002,18,3,5707,64424475,-2997,-5206
6002,19,0,5708,65283468,-7743,1366
6002,19,1,5709,66142461,-61,-1464
6002,19,2,5710,67001454,1535,6145
6002,19,3,5711,67860447,-2086,3172
6002,20,0,5712,68719440,-4403,-7694
6002,20,1,5713,69578433,-619,1757
6002,20,2,5714,70437426,7008,6129
6002,20,3,5715,71296419,5629,-2408
6002,21,0,5716,72155412,3229,-2198
6002,21,1,5717,73014405,3315,1712
6002,21,2,5718,73873398,-547,2460
6002,21,3,5719,74732391,1250,-798
6002,22,0,5720,75591384,184,-2940
6002,22,1,5721,76450377,-4689,1496
6002,22,2,5722,77309370,1680,1615
6002,22,3,5723,78168363,-1030,-1225
6002,23,0,5724,79027356,-8831,3782
6002,23,1,5725,79886349,-660,5145
6002,23,2,5726,80745342,1419,-3636
6002,23,3,5727,81604335,-1830,-5053
6002,24,0,5728,82463328,516,2298
6002,24,1,5729,83322321,-1944,2841
6002,24,2,5730,84181314,-1121,-780
6002,24,3,5731,85040307,1388,-4057
6002,25,0,5732,85899300,-352,-4594
6002,25,1,5733,86758293,710,1878
6002,25,2,5734,87617286,-363,1322
6002,25,3,5735,88476279,-3905,-3324
6002,26,0,5736,89335272,-2421,248
6002,26,1,5737,90194265,3868,-938
6002,26,2,5738,91053258,5195,570
6002,26,3,5739,91912251,2605,8862
6002,27,0,5740,92771244,2594,6498
6002,27,1,5741,93630237,-6028,2116
6002,27,2,5742,94489230,-8625,-3600
6002,27,3,5743,95348223,1346,-8218
6002,28,0,5744,96207216,-1362,2186
6002,28,1,5745,97066209,-350,5342
6002,28,2,5746,97925202,5640,794
6002,28,3,5747,98784195,1244,5633
6002,29,0,5748,99643188,2624,3921
6002,29,1,5749,100502181,-913,1621
6002,29,2,5750,101361174,-1767,6990
6002,29,3,5751,102220167,7980,6585
6002,30,0,5752,103079160,822,2899
6002,30,1,5753,103938153,-2956,-2095
6002,30,2,5754,104797146,185,-2034
6002,30,3,5755,105656139,-4002,5207
6002,31,0,5756,106515132,2369,731
6002,31,1,5757,107374125,-383,-7362
6002,31,2,5758,108233118,-8626,-3188
6002,31,3,5759,109092111,-1150,971
6002,32,0,5760,109951104,1721,1335
6002,32,1,5761,110810097,3787,259
6002,32,2,5762,111669090,300,-3627
6002,32,3,5763,112528083,-8764,-737
6002,33,0,5764,113387076,-1952,6645
6002,33,1,5765,114246069,-3064,5656
6002,33,2,5766,115105062,-6049,2749
6002,33,3,5767,115964055,4257,5435
6002,34,0,5768,116823048,115,2403
6002,34,1,5769,117682041,-3539,-7369
6002,34,2,5770,118541034,-590,-4564
6002,34,3,5771,119400027,-4323,5211
6002,35,0,5772,120259020,-464,779
6002,35,1,5773,121118013,-625,-2869
6002,35,2,5774,121977006,-1158,2462
6002,35,3,5775,122835999,6443,1370
6002,36,0,5776,123694992,-741,704
6002,36,1,5777,124553985,-5622,1046
6002,36,2,5778,125412978,2771,-1443
6002,36,3,5779,126271971,4534,-1110
6002,37,0,5780,127130964,1209,-4474
6002,37,1,5781,127989957,-3362,-856
6002,37,2,5782,128848950,-1613,6195
6002,37,3,5783,129707943,2730,-1498
6002,38,0,5784,130566936,613,-1918
6002,38,1,5785,131425929,4394,404
6002,38,2,5786,132284922,6460,-5561
6002,38,3,5787,133143915,-1610,2812
6002,39,0,5788,134002908,-7464,6608
6002,39,1,5789,134861901,-2860,-1361
6002,39,2,5790,135720894,7345,363
6002,39,3,5791,136579887,3729,-1226
6002,40,0,5792,137438880,-341,-5896
6002,40,1,5793,138297873,9300,-4326
6002,40,2,5794,139156866,8922,-1014
6002,40,3,5795,140015859,3491,860
6002,41,0,5796,140874852,562,-5047
6002,41,1,5797,141733845,-1565,-4942
6002,41,2,5798,142592838,4861,114
6002,41,3,5799,143451831,4667,-6599
6002,42,0,5800,144310824,4136,-3826
6002,42,1,5801,145169817,6721,6488
6002,42,2,5802,146028810,-4041,2751
6002,42,3,5803,146887803,-2955,723
6002,43,0,5804,147746796,5164,2267
6002,43,1,5805,148605789,-4542,-1581
6002,43,2,5806,149464782,-5578,-224
6002,43,3,5807,150323775,3433,2261
6002,44,0,5808,151182768,4089,-1944
6002,44,1,5809,152041761,5148,-2145
6002,44,2,5810,152900754,5847,692
6002,44,3,5811,153759747,2925,-2737
6002,45,0,5812,154618740,-1334,-3062
6002,45,1,5813,155477733,-7633,-541
6002,45,2,5814,156336726,-8055,-2188
6002,45,3,5815,157195719,-4974,2689
6002,46,0,5816,158054712,-4229,6023
6002,46,1,5817,158913705,624,-1015
6002,46,2,5818,159772698,-224,-2965
6002,46,3,5819,160631691,-5977,14
6002,47,0,5820,161490684,-877,2796
6002,47,1,5821,162349677,1792,4450
6002,47,2,5822,163208670,782,2138
6002,47,3,5823,164067663,4711,2621
6002,48,0,5824,164926656,3347,1717
6002,48,1,5825,165785649,1393,-2542
6002,48,2,5826,166644642,352,85
6002,48,3,5827,167503635,-780,1740
6002,49,0,5828,168362628,276,-4209
6002,49,1,5829,169221621,-2588,-6253
6002,49,2,5830,170080614,1518,26
6002,49,3,5831,170939607,4416,3645
6002,50,0,5832,171798600,-4214,-1123
6002,50,1,5833,172657593,-2862,-5593
6002,50,2,5834,173516586,2480,-2422
6002,50,3,5835,174375579,3689,3902
6002,51,0,5836,175234572,3448,949
6002,51,1,5837,176093565,-2721,-4983
6002,51,2,5838,176952558,212,-1487
6002,51,3,5839,177811551,3743,-1217
6002,52,0,5840,178670544,-3871,-1430
6002,52,1,5841,179529537,-1186,4506
6002,52,2,5842,180388530,4985,2675
6002,52,3,5843,181247523,1834,281
6002,53,0,5844,182106516,2004,420
6002,53,1,5845,182965509,2445,-1540
6002,53,2,5846,183824502,-2098,1792
6002,53,3,5847,184683495,-196,1293
6002,54,0,5848,185542488,4159,-1417
6002,54,1,5849,186401481,607,466
6002,54,2,5850,187260474,-2754,-2333
6002,54,3,5851,188119467,-1372,-1646
6002,55,0,5852,188978460,4906,3468
6002,55,1,5853,189837453,8839,1239
6002,55,2,5854,190696446,820,-2290
6002,55,3,5855,191555439,-1002,-2462
6002,56,0,5856,192414432,3929,-169
6002,56,1,5857,193273425,-366,3333
6002,56,2,5858,194132418,614,3111
6002,56,3,5859,194991411,4859,2502
6002,57,0,5860,195850404,-613,3904
6002,57,1,5861,196709397,-2284,851
6002,57,2,5862,197568390,2352,-2716
6002,57,3,5863,198427383,2550,-2316
6002,58,0,5864,199286376,1743,-2171
6002,58,1,5865,200145369,691,287
6002,58,2,5866,201004362,-4108,-1449
6002,58,3,5867,201863355,-2003,-7302
6002,59,0,5868,202722348,2548,-885
6002,59,1,5869,203581341,886,4768
6002,59,2,5870,204440334,2357,407
6002,59,3,5871,205299327,381,-22
6002,60,0,5872,206158320,-1102,1023
6002,60,1,5873,207017313,2546,2691
6002,60,2,5874,207876306,549,4208
6002,60,3,5875,208735299,4695,2409
6002,61,0,5876,209594292,3887,1456
6002,61,1,5877,210453285,-4405,-2112
6002,61,2,5878,211312278,1527,-1351
6002,61,3,5879,212171271,946,5411
6002,62,0,5880,213030264,-4966,2663
6002,62,1,5881,213889257,-3068,-2717
6002,62,2,5882,214748250,-4011,-597
6002,62,3,5883,215607243,-2405,-442
6002,63,0,5884,216466236,-3366,-2434
6002,63,1,5885,217325229,-3218,-1816
6002,63,2,5886,218184222,4244,-5802
6002,63,3,5887,219043215,4876,-3950
6002,64,0,5888,219902208,-483,6493
6002,64,1,5889,220761201,-3089,-811
6002,64,2,5890,221620194,2851,-6236
6002,64,3,5891,222479187,2921,4757
6002,65,0,5892,223338180,35,153
6002,65,1,5893,224197173,9168,-5898
6002,65,2,5894,225056166,6090,-1268
6002,65,3,5895,225915159,2663,-217
6002,66,0,5896,226774152,4571,2532
6002,66,1,5897,227633145,-3137,395
6002,66,2,5898,228492138,6046,-2765
6002,66,3,5899,229351131,6024,-1847
6002,67,0,5900,230210124,-9160,-531
6002,67,1,5901,231069117,129,5640
6002,67,2,5902,231928110,4469,949
6002,67,3,5903,232787103,-1585,-3609
6002,68,0,5904,233646096,1498,5418
6002,68,1,5905,234505089,145,3365
6002,68,2,5906,235364082,-4079,-1665
6002,68,3,5907,236223075,-2947,261
6002,69,0,5908,237082068,-767,-1035
6002,69,1,5909,237941061,-5411,-1773
6002,69,2,5910,238800054,-4015,-3002
6002,69,3,5911,239659047,-870,-3753
6002,70,0,5912,240518040,-7411,-474
6002,70,1,5913,241377033,-1921,2101
6002,70,2,5914,242236026,-638,-317
6002,70,3,5915,243095019,-3705,-995
6002,71,0,5916,243954012,5392,4225
6002,71,1,5917,244813005,-3494,4315
6002,71,2,5918,245671998,-9991,310
6002,71,3,5919,246530991,218,-4526
6002,72,0,5920,247389984,406,-5693
6002,72,1,5921,248248977,-890,838
6002,72,2,5922,249107970,-199,-659
6002,72,3,5923,249966963,2135,-2989
6002,73,0,5924,250825956,-916,-990
6002,73,1,5925,251684949,-6175,-2932
6002,73,2,5926,252543942,4294,1058
6002,73,3,5927,253402935,7427,1026
