"destination_relative","expected_sha256","source_sha256","private_sha256","expected_bytes","source_bytes","private_bytes","source_match","private_match"
"Sync_SFO.xpr","647E6B30D931C22D4BE8D9EB50456DD95ABABF5167D9208CCD0760B481357189","647E6B30D931C22D4BE8D9EB50456DD95ABABF5167D9208CCD0760B481357189","B2764CB569AC2F4AF11868ECC0D4D450BE61A1B0E0822DA6F9D51EC44BC2104C","69828","69828","70245","True","False"
"constraints/sync_sfo_clocks.xdc","2E2C1FF7016504A9D2FEB9A9B28B6D5E055062F36609D0FE97B02B9F1F30C05F","2E2C1FF7016504A9D2FEB9A9B28B6D5E055062F36609D0FE97B02B9F1F30C05F","2E2C1FF7016504A9D2FEB9A9B28B6D5E055062F36609D0FE97B02B9F1F30C05F","269","269","269","True","True"
"docs/RTL_MIGRATION_NOTES_ZH.md","CD2839BA0A3CD2045A44CD20DEEC7D5AE865E9CF47261966842A677B5D1F7D11","CD2839BA0A3CD2045A44CD20DEEC7D5AE865E9CF47261966842A677B5D1F7D11","CD2839BA0A3CD2045A44CD20DEEC7D5AE865E9CF47261966842A677B5D1F7D11","6483","6483","6483","True","True"
"docs/functional_review_20260915/preview_equivalence_v2.json","830CB97D40483A361156CAFD9148864C0A84407DC3243AB038E3EE2CCE509227","830CB97D40483A361156CAFD9148864C0A84407DC3243AB038E3EE2CCE509227","830CB97D40483A361156CAFD9148864C0A84407DC3243AB038E3EE2CCE509227","96294","96294","96294","True","True"
"docs/functional_review_20260915/rename_plan.json","E064A761BEFB8A7BFB6DBCCDF82A01D03CF98C3C90AD62C58895C219EDDD2A96","E064A761BEFB8A7BFB6DBCCDF82A01D03CF98C3C90AD62C58895C219EDDD2A96","E064A761BEFB8A7BFB6DBCCDF82A01D03CF98C3C90AD62C58895C219EDDD2A96","80041","80041","80041","True","True"
"ip/README_ZH.md","8DE7AF854FC7592FB444DB24ADC81FCCD9805FD549BCC9F594DBDCD864EB521F","8DE7AF854FC7592FB444DB24ADC81FCCD9805FD549BCC9F594DBDCD864EB521F","8DE7AF854FC7592FB444DB24ADC81FCCD9805FD549BCC9F594DBDCD864EB521F","816","816","816","True","True"
"ip/config/farrow_add_18/doc/c_addsub_v12_0_changelog.txt","D21C3338BFB45741E28395F7B097C346135854E5DE2EA37E269D42D9C5CFE27A","D21C3338BFB45741E28395F7B097C346135854E5DE2EA37E269D42D9C5CFE27A","D21C3338BFB45741E28395F7B097C346135854E5DE2EA37E269D42D9C5CFE27A","7209","7209","7209","True","True"
"ip/config/farrow_add_18/farrow_add_18.veo","07EBA3C6FB00028410BCDC88CA1F3060CD0D89B1F3518D2E3553DC28C26918C4","07EBA3C6FB00028410BCDC88CA1F3060CD0D89B1F3518D2E3553DC28C26918C4","07EBA3C6FB00028410BCDC88CA1F3060CD0D89B1F3518D2E3553DC28C26918C4","3079","3079","3079","True","True"
"ip/config/farrow_add_18/farrow_add_18.vho","C98F5472F4DB3C18FB5B065642E0745E3BA7715129E32B88FDA5E8E1E2E262B3","C98F5472F4DB3C18FB5B065642E0745E3BA7715129E32B88FDA5E8E1E2E262B3","C98F5472F4DB3C18FB5B065642E0745E3BA7715129E32B88FDA5E8E1E2E262B3","3337","3337","3337","True","True"
"ip/config/farrow_add_18/farrow_add_18.xci","C59B56A551EC4C824E695646B4A2F757CD3DF1E030341EB5A6EF5F452710C49F","C59B56A551EC4C824E695646B4A2F757CD3DF1E030341EB5A6EF5F452710C49F","C59B56A551EC4C824E695646B4A2F757CD3DF1E030341EB5A6EF5F452710C49F","28292","28292","28292","True","True"
