"IP","IPDEF","Path","Device","Package","Speed","Temperature","Locked"
"farrow_add_18","xilinx.com:ip:c_addsub:12.0","D:/008_MA_Dev/ip/config/farrow_add_18/farrow_add_18.xci","xcvu11p","flgb2104","-2","E","0"
"farrow_add_28","xilinx.com:ip:c_addsub:12.0","D:/008_MA_Dev/ip/config/farrow_add_28/farrow_add_28.xci","xcvu11p","flgb2104","-2","E","0"
"farrow_add_32","xilinx.com:ip:c_addsub:12.0","D:/008_MA_Dev/ip/config/farrow_add_32/farrow_add_32.xci","xcvu11p","flgb2104","-2","E","0"
"farrow_mul_h16","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/farrow_mul_h16/farrow_mul_h16.xci","xcvu11p","flgb2104","-2","E","0"
"farrow_mul_t16","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/farrow_mul_t16/farrow_mul_t16.xci","xcvu11p","flgb2104","-2","E","0"
"t03_xfft_16384_aux","xilinx.com:ip:xfft:9.1","D:/008_MA_Dev/ip/config/t03_xfft_16384_aux/t03_xfft_16384_aux.xci","xcvu11p","flgb2104","-2","E","0"
"t03_xfft_2048_main","xilinx.com:ip:xfft:9.1","D:/008_MA_Dev/ip/config/t03_xfft_2048_main/t03_xfft_2048_main.xci","xcvu11p","flgb2104","-2","E","0"
"t04_cmpy_17x16","xilinx.com:ip:cmpy:6.0","D:/008_MA_Dev/ip/config/t04_cmpy_17x16/t04_cmpy_17x16.xci","xcvu11p","flgb2104","-2","E","0"
"t04_div_u63_u47","xilinx.com:ip:div_gen:5.1","D:/008_MA_Dev/ip/config/t04_div_u63_u47/t04_div_u63_u47.xci","xcvu11p","flgb2104","-2","E","0"
"t05_cmpy_rotate_18x18","xilinx.com:ip:cmpy:6.0","D:/008_MA_Dev/ip/config/t05_cmpy_rotate_18x18/t05_cmpy_rotate_18x18.xci","xcvu11p","flgb2104","-2","E","0"
"t05_mult_cfo_s19_const40_full59","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t05_mult_cfo_s19_const40_full59/t05_mult_cfo_s19_const40_full59.xci","xcvu11p","flgb2104","-2","E","0"
"t06_cordic_translate48_parallel","xilinx.com:ip:cordic:6.0","D:/008_MA_Dev/ip/config/t06_cordic_translate48_parallel/t06_cordic_translate48_parallel.xci","xcvu11p","flgb2104","-2","E","0"
"t06_dds_phase_s32_sincos18","xilinx.com:ip:dds_compiler:6.0","D:/008_MA_Dev/ip/config/t06_dds_phase_s32_sincos18/t06_dds_phase_s32_sincos18.xci","xcvu11p","flgb2104","-2","E","0"
"t06_fs_mult_s29_s11","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_fs_mult_s29_s11/t06_fs_mult_s29_s11.xci","xcvu11p","flgb2104","-2","E","0"
"t06_fs_mult_s29_s48","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_fs_mult_s29_s48/t06_fs_mult_s29_s48.xci","xcvu11p","flgb2104","-2","E","0"
"t06_fs_mult_u18_s11","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_fs_mult_u18_s11/t06_fs_mult_u18_s11.xci","xcvu11p","flgb2104","-2","E","0"
"t06_fs_mult_u18_s48","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_fs_mult_u18_s48/t06_fs_mult_u18_s48.xci","xcvu11p","flgb2104","-2","E","0"
"t06_observation_engine_square","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_observation_engine_square/t06_observation_engine_square.xci","xcvu11p","flgb2104","-2","E","0"
"t06_observation_engine_weight_product","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_observation_engine_weight_product/t06_observation_engine_weight_product.xci","xcvu11p","flgb2104","-2","E","0"
"t06_pair_max_tracker_2lane_cross","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_pair_max_tracker_2lane_cross/t06_pair_max_tracker_2lane_cross.xci","xcvu11p","flgb2104","-2","E","0"
"t06_rt_mult_s41_s38","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_rt_mult_s41_s38/t06_rt_mult_s41_s38.xci","xcvu11p","flgb2104","-2","E","0"
"t06_rt_mult_s41_s41","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_rt_mult_s41_s41/t06_rt_mult_s41_s41.xci","xcvu11p","flgb2104","-2","E","0"
"t06_rt_mult_s41_u38","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_rt_mult_s41_u38/t06_rt_mult_s41_u38.xci","xcvu11p","flgb2104","-2","E","0"
"t06_rt_mult_u30_s42","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_rt_mult_u30_s42/t06_rt_mult_u30_s42.xci","xcvu11p","flgb2104","-2","E","0"
"t06_rt_mult_u30_u43","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_rt_mult_u30_u43/t06_rt_mult_u30_u43.xci","xcvu11p","flgb2104","-2","E","0"
"t06_rt_mult_u30_u48","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_rt_mult_u30_u48/t06_rt_mult_u30_u48.xci","xcvu11p","flgb2104","-2","E","0"
"t06_rt_mult_u48_u20","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_rt_mult_u48_u20/t06_rt_mult_u48_u20.xci","xcvu11p","flgb2104","-2","E","0"
"t06_sg_div_u53_u37","xilinx.com:ip:div_gen:5.1","D:/008_MA_Dev/ip/config/t06_sg_div_u53_u37/t06_sg_div_u53_u37.xci","xcvu11p","flgb2104","-2","E","0"
"t06_sg_mult_u37_u16","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_sg_mult_u37_u16/t06_sg_mult_u37_u16.xci","xcvu11p","flgb2104","-2","E","0"
"t06_wp_mult_u64_u33","xilinx.com:ip:mult_gen:12.0","D:/008_MA_Dev/ip/config/t06_wp_mult_u64_u33/t06_wp_mult_u64_u33.xci","xcvu11p","flgb2104","-2","E","0"
"t07_g3_down15","xilinx.com:ip:fir_compiler:7.2","D:/008_MA_Dev/ip/config/t07_g3_down15/t07_g3_down15.xci","xcvu11p","flgb2104","-2","E","0"
"t07_g3_down47","xilinx.com:ip:fir_compiler:7.2","D:/008_MA_Dev/ip/config/t07_g3_down47/t07_g3_down47.xci","xcvu11p","flgb2104","-2","E","0"
"t07_g3_up15","xilinx.com:ip:fir_compiler:7.2","D:/008_MA_Dev/ip/config/t07_g3_up15/t07_g3_up15.xci","xcvu11p","flgb2104","-2","E","0"
"t07_g3_up47","xilinx.com:ip:fir_compiler:7.2","D:/008_MA_Dev/ip/config/t07_g3_up47/t07_g3_up47.xci","xcvu11p","flgb2104","-2","E","0"
