Frame,Index,Lane,Abs,Phase,I,Q
6001,0,0,5632,0,-2469,-1419
6001,0,1,5633,858993,-5088,-2485
6001,0,2,5634,1717986,-131,922
6001,0,3,5635,2576979,1452,1247
6001,1,0,5636,3435972,-43,941
6001,1,1,5637,4294965,-191,1634
6001,1,2,5638,5153958,-2275,-2057
6001,1,3,5639,6012951,-3163,-3218
6001,2,0,5640,6871944,387,2614
6001,2,1,5641,7730937,-1235,-430
6001,2,2,5642,8589930,-7156,-4005
6001,2,3,5643,9448923,796,3121
6001,3,0,5644,10307916,9184,828
6001,3,1,5645,11166909,-1518,-5355
6001,3,2,5646,12025902,-7879,-3323
6001,3,3,5647,12884895,343,473
6001,4,0,5648,13743888,3016,5086
6001,4,1,5649,14602881,-2823,3559
6001,4,2,5650,15461874,-3164,-1346
6001,4,3,5651,16320867,4128,-4242
6001,5,0,5652,17179860,5352,-4140
6001,5,1,5653,18038853,-925,-375
6001,5,2,5654,18897846,-3007,-437
6001,5,3,5655,19756839,-477,3035
6001,6,0,5656,20615832,576,61
6001,6,1,5657,21474825,318,-7457
6001,6,2,5658,22333818,1920,3691
6001,6,3,5659,23192811,4322,1942
6001,7,0,5660,24051804,4027,-5030
6001,7,1,5661,24910797,114,5143
6001,7,2,5662,25769790,653,-1829
6001,7,3,5663,26628783,7566,-6120
6001,8,0,5664,27487776,4653,252
6001,8,1,5665,28346769,-2694,-1290
6001,8,2,5666,29205762,1343,3871
6001,8,3,5667,30064755,4396,1827
6001,9,0,5668,30923748,-1046,-466
6001,9,1,5669,31782741,-6228,631
6001,9,2,5670,32641734,-4294,-6383
6001,9,3,5671,33500727,-849,929
6001,10,0,5672,34359720,-2044,1585
6001,10,1,5673,35218713,1636,-6477
6001,10,2,5674,36077706,3207,-696
6001,10,3,5675,36936699,-1243,-1307
6001,11,0,5676,37795692,-147,2363
6001,11,1,5677,38654685,-973,7447
6001,11,2,5678,39513678,-31,312
6001,11,3,5679,40372671,2190,-2765
6001,12,0,5680,41231664,-2995,-6203
6001,12,1,5681,42090657,-2207,-2190
6001,12,2,5682,42949650,-712,2108
6001,12,3,5683,43808643,-1125,-3739
6001,13,0,5684,44667636,-1080,940
6001,13,1,5685,45526629,-9086,-2335
6001,13,2,5686,46385622,-5535,-9141
6001,13,3,5687,47244615,4093,3443
6001,14,0,5688,48103608,-307,6516
6001,14,1,5689,48962601,-3245,-1868
6001,14,2,5690,49821594,-1573,-4855
6001,14,3,5691,50680587,427,-3857
6001,15,0,5692,51539580,-2671,1581
6001,15,1,5693,52398573,-5348,3621
6001,15,2,5694,53257566,4574,1705
6001,15,3,5695,54116559,4126,-1449
6001,16,0,5696,54975552,129,-3820
6001,16,1,5697,55834545,5510,1447
6001,16,2,5698,56693538,-3359,3360
6001,16,3,5699,57552531,-7273,-1863
6001,17,0,5700,58411524,-1368,54
6001,17,1,5701,59270517,-6256,2000
6001,17,2,5702,60129510,-3087,-3374
6001,17,3,5703,60988503,2264,-471
6001,18,0,5704,61847496,1156,1327
6001,18,1,5705,62706489,4683,-9506
6001,18,2,5706,63565482,-1371,-6903
6001,18,3,5707,64424475,-8124,1429
6001,19,0,5708,65283468,-1140,-1541
6001,19,1,5709,66142461,1879,4904
6001,19,2,5710,67001454,-1586,4950
6001,19,3,5711,67860447,-4286,-7254
6001,20,0,5712,68719440,-1690,-215
6001,20,1,5713,69578433,6306,6802
6001,20,2,5714,70437426,6282,-1448
6001,20,3,5715,71296419,3188,-2781
6001,21,0,5716,72155412,3607,1328
6001,21,1,5717,73014405,-144,2576
6001,21,2,5718,73873398,714,-151
6001,21,3,5719,74732391,1009,-3106
6001,22,0,5720,75591384,-4665,826
6001,22,1,5721,76450377,671,2106
6001,22,2,5722,77309370,420,-1243
6001,22,3,5723,78168363,-8725,2837
6001,23,0,5724,79027356,-2088,5763
6001,23,1,5725,79886349,1984,-2395
6001,23,2,5726,80745342,-1854,-5729
6001,23,3,5727,81604335,356,1439
6001,24,0,5728,82463328,-1485,3259
6001,24,1,5729,83322321,-1657,-324
6001,24,2,5730,84181314,1402,-3579
6001,24,3,5731,85040307,-193,-5030
6001,25,0,5732,85899300,487,1002
6001,25,1,5733,86758293,102,2115
6001,25,2,5734,87617286,-3581,-3222
6001,25,3,5735,88476279,-3050,-268
6001,26,0,5736,89335272,3043,-435
6001,26,1,5737,90194265,5519,-414
6001,26,2,5738,91053258,2715,8146
6001,26,3,5739,91912251,2906,7325
6001,27,0,5740,92771244,-4482,2538
6001,27,1,5741,93630237,-9513,-2439
6001,27,2,5742,94489230,417,-8499
6001,27,3,5743,95348223,-485,483
6001,28,0,5744,96207216,-1397,5961
6001,28,1,5745,97066209,5566,834
6001,28,2,5746,97925202,1769,4953
6001,28,3,5747,98784195,2258,4712
6001,29,0,5748,99643188,116,1270
6001,29,1,5749,100502181,-2784,6386
6001,29,2,5750,101361174,7316,7020
6001,29,3,5751,102220167,2469,3441
6001,30,0,5752,103079160,-3482,-1404
6001,30,1,5753,103938153,415,-2752
6001,30,2,5754,104797146,-3855,4551
6001,30,3,5755,105656139,1298,2149
6001,31,0,5756,106515132,1127,-6976
6001,31,1,5757,107374125,-8534,-4122
6001,31,2,5758,108233118,-2331,763
6001,31,3,5759,109092111,1735,1302
6001,32,0,5760,109951104,3352,653
6001,32,1,5761,110810097,1670,-3253
6001,32,2,5762,111669090,-8404,-1710
6001,32,3,5763,112528083,-3140,5987
6001,33,0,5764,113387076,-1963,6241
6001,33,1,5765,114246069,-6795,2760
6001,33,2,5766,115105062,3273,5072
6001,33,3,5767,115964055,1421,3507
6001,34,0,5768,116823048,-3916,-6395
6001,34,1,5769,117682041,-484,-5921
6001,34,2,5770,118541034,-4047,4549
6001,34,3,5771,119400027,-1231,1953
6001,35,0,5772,120259020,-17,-3188
6001,35,1,5773,121118013,-1907,1932
6001,35,2,5774,121977006,5960,1807
6001,35,3,5775,122835999,892,490
6001,36,0,5776,123694992,-6094,1303
6001,36,1,5777,124553985,1750,-1294
6001,36,2,5778,125412978,4781,-1043
6001,36,3,5779,126271971,1764,-4006
6001,37,0,5780,127130964,-2895,-2110
6001,37,1,5781,127989957,-2360,6129
6001,37,2,5782,128848950,2616,-287
6001,37,3,5783,129707943,802,-2687
6001,38,0,5784,130566936,3540,918
6001,38,1,5785,131425929,6901,-5308
6001,38,2,5786,132284922,-389,1154
6001,38,3,5787,133143915,-7185,7292
6001,39,0,5788,134002908,-4138,-716
6001,39,1,5789,134861901,6487,-118
6001,39,2,5790,135720894,4965,-479
6001,39,3,5791,136579887,-845,-5668
6001,40,0,5792,137438880,8150,-4696
6001,40,1,5793,138297873,9737,-1509
6001,40,2,5794,139156866,3896,1044
6001,40,3,5795,140015859,1099,-4159
6001,41,0,5796,140874852,-1821,-5733
6001,41,1,5797,141733845,4024,123
6001,41,2,5798,142592838,5220,-5638
6001,41,3,5799,143451831,3595,-5248
6001,42,0,5800,144310824,7151,5865
6001,42,1,5801,145169817,-2588,3632
6001,42,2,5802,146028810,-4324,444
6001,42,3,5803,146887803,5153,2435
6001,43,0,5804,147746796,-3047,-1148
6001,43,1,5805,148605789,-6564,-788
6001,43,2,5806,149464782,2672,2377
6001,43,3,5807,150323775,4229,-1359
6001,44,0,5808,151182768,4834,-2563
6001,44,1,5809,152041761,6032,658
6001,44,2,5810,152900754,3350,-2183
6001,44,3,5811,153759747,-614,-3449
6001,45,0,5812,154618740,-6966,-557
6001,45,1,5813,155477733,-8447,-2129
6001,45,2,5814,156336726,-5166,1697
6001,45,3,5815,157195719,-4487,6335
6001,46,0,5816,158054712,-34,-91
6001,46,1,5817,158913705,553,-3212
6001,46,2,5818,159772698,-5763,-332
6001,46,3,5819,160631691,-1828,2403
6001,47,0,5820,161490684,1993,4509
6001,47,1,5821,162349677,548,2411
6001,47,2,5822,163208670,4339,2393
6001,47,3,5823,164067663,3794,2210
6001,48,0,5824,164926656,1443,-2273
6001,48,1,5825,165785649,623,-531
6001,48,2,5826,166644642,-875,2045
6001,48,3,5827,167503635,360,-3388
6001,49,0,5828,168362628,-2327,-6556
6001,49,1,5829,169221621,526,-899
6001,49,2,5830,170080614,4927,3707
6001,49,3,5831,170939607,-3301,-303
6001,50,0,5832,171798600,-3704,-5394
6001,50,1,5833,172657593,2172,-3223
6001,50,2,5834,173516586,3493,3421
6001,50,3,5835,174375579,3891,1885
6001,51,0,5836,175234572,-2117,-4769
6001,51,1,5837,176093565,-761,-2073
6001,51,2,5838,176952558,4130,-858
6001,51,3,5839,177811551,-3090,-1922
6001,52,0,5840,178670544,-2238,3995
6001,52,1,5841,179529537,4819,3277
6001,52,2,5842,180388530,2292,233
6001,52,3,5843,181247523,1683,624
6001,53,0,5844,182106516,2783,-1533
6001,53,1,5845,182965509,-1669,1304
6001,53,2,5846,183824502,-884,1778
6001,53,3,5847,184683495,4030,-1443
6001,54,0,5848,185542488,1271,377
6001,54,1,5849,186401481,-2620,-1863
6001,54,2,5850,187260474,-1779,-2238
6001,54,3,5851,188119467,3941,3146
6001,55,0,5852,188978460,9055,1811
6001,55,1,5853,189837453,1956,-2066
6001,55,2,5854,190696446,-1576,-2561
6001,55,3,5855,191555439,3791,-598
6001,56,0,5856,192414432,274,3043
6001,56,1,5857,193273425,-94,3316
6001,56,2,5858,194132418,4879,2384
6001,56,3,5859,194991411,206,3873
6001,57,0,5860,195850404,-2643,1454
6001,57,1,5861,196709397,1917,-2552
6001,57,2,5862,197568390,2748,-2387
6001,57,3,5863,198427383,1715,-2251
6001,58,0,5864,199286376,1090,-49
6001,58,1,5865,200145369,-3667,-717
6001,58,2,5866,201004362,-2735,-7079
6001,58,3,5867,201863355,2422,-2142
6001,59,0,5868,202722348,1037,4820
6001,59,1,5869,203581341,2124,909
6001,59,2,5870,204440334,931,-216
6001,59,3,5871,205299327,-1423,963
6001,60,0,5872,206158320,2397,2365
6001,60,1,5873,207017313,718,4261
6001,60,2,5874,207876306,3918,2601
6001,60,3,5875,208735299,4873,1636
6001,61,0,5876,209594292,-4090,-1637
6001,61,1,5877,210453285,584,-2004
6001,61,2,5878,211312278,1811,4899
6001,61,3,5879,212171271,-4798,3501
6001,62,0,5880,213030264,-3239,-2509
6001,62,1,5881,213889257,-3894,-963
6001,62,2,5882,214748250,-2684,-171
6001,62,3,5883,215607243,-2983,-2392
6001,63,0,5884,216466236,-3783,-1758
6001,63,1,5885,217325229,3497,-5211
6001,63,2,5886,218184222,5283,-5013
6001,63,3,5887,219043215,177,5853
6001,64,0,5888,219902208,-3247,818
6001,64,1,5889,220761201,2054,-6881
6001,64,2,5890,221620194,3573,3844
6001,64,3,5891,222479187,-395,1481
6001,65,0,5892,223338180,8285,-6026
6001,65,1,5893,224197173,7150,-1694
6001,65,2,5894,225056166,2276,-331
6001,65,3,5895,225915159,5064,2250
6001,66,0,5896,226774152,-2740,991
6001,66,1,5897,227633145,4421,-2746
6001,66,2,5898,228492138,7656,-1876
6001,66,3,5899,229351131,-8443,-1007
6001,67,0,5900,230210124,-1581,5159
6001,67,1,5901,231069117,5080,2116
6001,67,2,5902,231928110,-1378,-4036
6001,67,3,5903,232787103,1100,4560
6001,68,0,5904,233646096,678,4261
6001,68,1,5905,234505089,-3811,-1613
6001,68,2,5906,235364082,-3334,127
6001,68,3,5907,236223075,-672,-805
6001,69,0,5908,237082068,-4839,-1758
6001,69,1,5909,237941061,-4739,-2769
6001,69,2,5910,238800054,-522,-3884
6001,69,3,5911,239659047,-6985,-941
6001,70,0,5912,240518040,-2977,2051
6001,70,1,5913,241377033,58,95
6001,70,2,5914,242236026,-4232,-1327
6001,70,3,5915,243095019,4817,3705
6001,71,0,5916,243954012,-1689,4669
6001,71,1,5917,244813005,-10550,769
6001,71,2,5918,245671998,-672,-3948
6001,71,3,5919,246530991,783,-6106
6001,72,0,5920,247389984,-951,257
6001,72,1,5921,248248977,-301,-58
6001,72,2,5922,249107970,1867,-3172
6001,72,3,5923,249966963,-32,-954
6001,73,0,5924,250825956,-6358,-2891
6001,73,1,5925,251684949,2892,481
6001,73,2,5926,252543942,8031,1505
6001,73,3,5927,253402935,-207,-2200
6001,74,0,5928,254261928,-4932,-2138
6001,74,1,5929,255120921,-4489,-5797
6001,74,2,5930,255979914,1769,-1771
6001,74,3,5931,256838907,376,-1322
6001,75,0,5932,257697900,-3495,-7660
6001,75,1,5933,258556893,-2489,-95
6001,75,2,5934,259415886,-2585,2064
6001,75,3,5935,260274879,3586,498
